Date,Head_314740
1969-05-22 07:01:00,330.61
1969-05-26 07:01:00,330.54
1969-05-29 07:01:00,330.52
1969-06-02 07:01:00,330.49
1969-06-05 07:01:00,330.48
1969-06-09 07:01:00,330.48
1969-06-12 07:01:00,331.07
1969-06-16 07:01:00,330.87
1969-06-19 07:01:00,330.71
1969-06-23 07:01:00,330.58
1969-06-26 07:01:00,330.51
1969-06-30 07:01:00,330.4
1969-07-03 07:01:00,330.36
1969-07-07 07:01:00,330.37
1969-07-10 07:01:00,330.83
1969-07-14 07:01:00,330.77
1969-07-17 07:01:00,330.71
1969-07-21 07:01:00,330.51
1969-07-24 07:01:00,330.42
1969-07-28 07:01:00,330.3
1969-07-31 07:01:00,330.38
1969-08-04 07:01:00,330.31
1969-08-07 07:01:00,330.25
1969-08-11 07:01:00,330.27
1969-08-14 07:01:00,330.25
1969-08-18 07:01:00,330.36
1969-08-21 07:01:00,330.4
1969-08-25 07:01:00,330.53
1969-08-28 07:01:00,330.68
1969-09-01 07:01:00,330.56
1969-09-04 07:01:00,330.56
1969-09-08 07:01:00,330.52
1969-09-11 07:01:00,330.43
1969-09-15 07:01:00,330.37
1969-09-16 07:01:00,330.48
1969-09-18 07:01:00,330.63
1969-09-22 07:01:00,330.63
1969-09-25 07:01:00,330.51
1969-09-29 07:01:00,330.4
1969-10-02 07:01:00,330.39
1969-10-06 07:01:00,330.29
1969-10-09 07:01:00,330.24
1969-10-13 07:01:00,330.19
1969-10-16 07:01:00,330.16
1969-10-20 07:01:00,330.14
1969-10-23 07:01:00,330.11
1969-10-27 07:01:00,330.1
1969-10-30 07:01:00,330.06
1969-11-03 07:01:00,330.04
1969-11-06 07:01:00,330.03
1969-11-10 07:01:00,330.01
1969-11-13 07:01:00,330.0
1969-11-17 07:01:00,330.04
1969-11-20 07:01:00,330.15
1969-11-24 07:01:00,330.1
1969-11-27 07:01:00,330.22
1969-12-01 07:01:00,330.12
1969-12-04 07:01:00,330.05
1969-12-08 07:01:00,330.04
1969-12-11 07:01:00,330.03
1969-12-15 07:01:00,330.03
1969-12-18 07:01:00,330.02
1969-12-22 07:01:00,330.0
1969-12-25 07:01:00,330.0
1969-12-29 07:01:00,329.98
1970-01-01 07:01:00,330.0
1970-01-05 07:01:00,329.97
1970-01-08 07:01:00,330.02
1970-01-12 07:01:00,329.98
1970-01-15 07:01:00,330.01
1970-01-19 07:01:00,330.03
1970-01-22 07:01:00,329.98
1970-01-26 07:01:00,329.95
1970-01-29 07:01:00,329.96
1970-02-02 07:01:00,329.93
1970-02-05 07:01:00,329.94
1970-02-09 07:01:00,329.96
1970-02-12 07:01:00,329.96
1970-02-16 07:01:00,329.96
1970-02-19 07:01:00,329.93
1970-02-23 07:01:00,329.98
1970-02-26 07:01:00,330.03
1970-03-02 07:01:00,329.97
1970-03-05 07:01:00,329.99
1970-03-09 07:01:00,329.93
1970-03-12 07:01:00,329.93
1970-03-16 07:01:00,329.94
1970-03-19 07:01:00,329.99
1970-03-23 07:01:00,330.15
1970-03-26 07:01:00,330.46
1970-03-30 07:01:00,330.45
1970-04-02 07:01:00,330.47
1970-04-06 07:01:00,330.35
1970-04-09 07:01:00,330.36
1970-04-13 07:01:00,330.44
1970-04-16 07:01:00,330.47
1970-04-20 07:01:00,331.06
1970-04-23 07:01:00,331.13
1970-04-27 07:01:00,331.52
1970-04-30 07:01:00,331.25
1970-05-04 07:01:00,330.95
1970-05-07 07:01:00,330.92
1970-05-11 07:01:00,331.34
1970-05-14 07:01:00,331.41
1970-05-18 07:01:00,331.69
1970-05-21 07:01:00,331.46
1970-05-25 07:01:00,331.23
1970-05-28 07:01:00,331.12
1970-06-01 07:01:00,331.06
1970-06-04 07:01:00,331.2
1970-06-08 07:01:00,331.1
1970-06-11 07:01:00,331.31
1970-06-15 07:01:00,331.22
1970-06-18 07:01:00,331.22
1970-06-22 07:01:00,331.08
1970-06-25 07:01:00,331.04
1970-06-29 07:01:00,330.92
1970-07-02 07:01:00,331.08
1970-07-06 07:01:00,331.01
1970-07-09 07:01:00,330.82
1970-07-13 07:01:00,330.81
1970-07-16 07:01:00,331.38
1970-07-20 07:01:00,331.33
1970-07-23 07:01:00,331.25
1970-07-27 07:01:00,331.33
1970-07-30 07:01:00,331.06
1970-08-03 07:01:00,330.89
1970-08-06 07:01:00,331.06
1970-08-10 07:01:00,331.71
1970-08-13 07:01:00,331.66
1970-08-17 07:01:00,331.2
1970-08-20 07:01:00,331.13
1970-08-24 07:01:00,331.36
1970-08-27 07:01:00,331.34
