date,head
1994-03-31,1.63
1994-04-19,1.61
1994-05-02,1.46
1994-05-19,1.41
1994-05-31,1.46
1994-06-16,1.52
1994-06-30,1.4
1994-07-19,1.28
1994-08-01,1.26
1994-08-19,1.35
1994-09-02,1.26
1994-09-19,1.61
1994-10-03,1.49
1994-10-19,1.44
1994-11-02,1.79
1994-11-17,1.66
1994-12-02,1.52
1994-12-15,1.56
1994-12-29,2.01
1995-01-18,1.81
1995-02-01,1.91
1995-02-17,1.83
1995-03-02,1.74
1995-03-16,1.71
1995-03-30,1.57
1995-04-20,1.56
1995-05-03,1.46
1995-05-18,1.38
1995-06-01,1.51
1995-06-15,1.54
1995-06-29,1.4
1995-07-13,1.31
1995-07-31,1.26
1995-08-16,1.18
1995-08-28,1.22
1995-09-15,1.2
1995-09-29,1.31
1995-10-17,1.27
1995-10-30,1.2
1995-11-16,1.19
1995-11-29,1.31
1995-12-14,1.27
1996-01-18,1.21
1996-01-31,1.13
1996-02-14,1.2
1996-02-28,1.26
1996-03-15,1.18
1996-03-29,1.1
1996-04-17,1.11
1996-05-02,1.11
1996-05-13,1.06
1996-05-28,1.03
1996-06-14,1.01
1996-06-28,0.96
1996-07-17,1.01
1996-07-31,0.94
1996-08-16,0.91
1996-08-29,1.01
1996-09-14,1.11
1996-10-02,1.03
1996-10-16,0.91
1996-10-30,0.96
1996-11-15,1.21
1996-11-29,1.31
1996-12-16,1.25
1997-01-15,1.2
1997-01-29,1.14
1997-02-14,1.39
1997-02-28,1.41
1997-03-13,1.33
1997-03-28,1.28
1997-04-17,1.24
1997-05-01,1.26
1997-05-15,1.33
1997-05-29,1.36
1997-06-16,1.27
1997-06-30,1.2
1997-07-30,1.2
1997-08-14,1.11
1997-08-28,1.23
1997-09-01,1.23
1997-09-18,1.11
1997-10-01,1.03
1997-10-15,1.22
1997-10-29,1.11
1997-11-17,1.03
1997-11-27,1.03
1997-12-18,1.21
1998-01-15,1.43
1998-01-29,1.4
1998-02-17,1.26
1998-03-04,1.26
1998-03-18,1.56
1998-04-01,1.43
1998-06-17,1.51
1998-07-01,1.31
1998-07-15,1.23
1998-07-30,1.15
1998-08-19,1.11
1998-09-01,1.21
1998-09-16,1.51
1998-09-30,1.41
1998-10-19,1.51
1998-10-29,1.81
