DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)

THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE

STN      = stationsnummer/stationnumber
YYYYMMDD = datum/date (YYYY=jaar/year MM=maand/month DD=dag/day)
RD       = 24-uur som van de neerslag in tiende millimeters van 08.00 voorafgaande dag- 08.00 UTC huidige dag/
           daily precipitation amount in 0.1 mm over the period 08.00 preceding day - 08.00 UTC present day
SX       = codecijfer sneeuwdek om 08.00 uur UTC/code for the snow cover at 08.00 UTC:

           codecijfer/code    sneeuwdikte/snow cover
           1                                    1 cm
           ...                                   ...
           996                                996 cm

           997 gebroken sneeuwdek/broken snow cover < 1 cm
           998 gebroken sneeuwdek/broken snow cover >=1 cm
           999 sneeuwhopen/snow dunes

5 spaties betekent een ontbrekende waarde/5 spaces represents a missing value

STN,YYYYMMDD,   RD,   SX,
 89,19960405,    0,    0,
 89,19960406,    0,    0,
 89,19960407,    0,    0,
 89,19960408,    0,    0,
 89,19960409,    0,    0,
 89,19960410,    6,    0,
 89,19960411,   57,    0,
 89,19960412,    3,    0,
 89,19960413,    0,    0,
 89,19960414,    0,    0,
 89,19960415,    0,    0,
 89,19960416,    0,    0,
 89,19960417,    0,    0,
 89,19960418,    0,    0,
 89,19960419,    0,    0,
 89,19960420,    0,    0,
 89,19960421,    0,    0,
 89,19960422,    0,    0,
 89,19960423,    0,    0,
 89,19960424,    0,    0,
 89,19960425,    0,    0,
 89,19960426,    0,    0,
 89,19960427,    0,    0,
 89,19960428,    0,    0,
 89,19960429,   11,    0,
 89,19960430,    0,    0,
 89,19960501,    0,    0,
 89,19960502,  148,    0,
 89,19960503,   48,    0,
 89,19960504,    9,    0,
 89,19960505,    5,    0,
 89,19960506,    0,    0,
 89,19960507,    0,    0,
 89,19960508,    0,    0,
 89,19960509,    0,    0,
 89,19960510,   35,    0,
 89,19960511,    5,    0,
 89,19960512,    0,    0,
 89,19960513,    0,    0,
 89,19960514,    0,    0,
 89,19960515,    0,    0,
 89,19960516,    0,    0,
 89,19960517,   83,    0,
 89,19960518,    3,    0,
 89,19960519,    1,    0,
 89,19960520,    2,    0,
 89,19960521,    0,    0,
 89,19960522,    0,    0,
 89,19960523,   54,    0,
 89,19960524,    7,    0,
 89,19960525,   78,    0,
 89,19960526,    0,    0,
 89,19960527,   37,    0,
 89,19960528,    8,    0,
 89,19960529,    0,    0,
 89,19960530,   13,    0,
 89,19960531,    0,    0,
 89,19960601,    0,    0,
 89,19960602,    0,    0,
 89,19960603,    0,    0,
 89,19960604,    0,    0,
 89,19960605,    0,    0,
 89,19960606,    0,    0,
 89,19960607,    0,    0,
