Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,26-04-2016,,,,,,,,
Gegevens beschikbaar:,16-10-1972,tot:,05-11-2010,,,,,,,,
Datum: ,26-04-2016,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B32D0136,001,32DP0136,153344,457123,1100,01-10-1972,16-10-1972,22-06-1988,1124,24,124,-76
B32D0136,001,32DP0136,153344,457123,1095,22-06-1988,22-06-1988,05-11-2010,1125,30,124,-76


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B32D0136,001,14-01-1977,752,728,372,,,,,,
B32D0136,001,28-01-1977,751,727,373,,,,,,
B32D0136,001,14-02-1977,747,723,377,,,,,,
B32D0136,001,28-02-1977,744,720,380,,,,,,
B32D0136,001,14-03-1977,740,716,384,,,,,,
B32D0136,001,28-03-1977,740,716,384,,,,,,
B32D0136,001,14-04-1977,740,716,384,,,,,,
B32D0136,001,29-04-1977,741,717,383,,,,,,
B32D0136,001,13-05-1977,742,718,382,,,,,,
B32D0136,001,27-05-1977,742,718,382,,,,,,
B32D0136,001,14-06-1977,744,720,380,,,,,,
B32D0136,001,28-06-1977,745,721,379,,,,,,
B32D0136,001,14-07-1977,747,723,377,,,,,,
B32D0136,001,29-07-1977,751,727,373,,,,,,
B32D0136,001,15-08-1977,753,729,371,,,,,,
B32D0136,001,29-08-1977,753,729,371,,,,,,
B32D0136,001,13-09-1977,755,731,369,,,,,,
B32D0136,001,28-09-1977,757,733,367,,,,,,
B32D0136,001,14-10-1977,754,730,370,,,,,,
B32D0136,001,28-10-1977,757,733,367,,,,,,
B32D0136,001,14-11-1977,757,733,367,,,,,,
B32D0136,001,28-11-1977,755,731,369,,,,,,
B32D0136,001,14-12-1977,752,728,372,,,,,,
B32D0136,001,28-12-1977,748,724,376,,,,,,
B32D0136,001,16-01-1978,744,720,380,,,,,,
B32D0136,001,30-01-1978,746,722,378,,,,,,
B32D0136,001,15-02-1978,741,717,383,,,,,,
B32D0136,001,28-02-1978,744,720,380,,,,,,
B32D0136,001,14-03-1978,735,711,389,,,,,,
B32D0136,001,28-03-1978,734,710,390,,,,,,
B32D0136,001,13-04-1978,731,707,393,,,,,,
B32D0136,001,27-04-1978,728,704,396,,,,,,
B32D0136,001,16-05-1978,733,709,391,,,,,,
B32D0136,001,29-05-1978,729,705,395,,,,,,
B32D0136,001,14-06-1978,734,710,390,,,,,,
B32D0136,001,28-06-1978,735,711,389,,,,,,
B32D0136,001,13-07-1978,735,711,389,,,,,,
