Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-14/09/2015
Datum: 14/09/2015
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B58C0698,001,58CP7805,181600,359260,3017,,3026,2648,2598,1985/10/28,2002/08/23
B58C0698,001,58CP7805,181600,359260,3017,,3025,2647,2597,2002/08/23,2015/06/28

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B58C0698,001,1991/03/14 00:00:00,207,
B58C0698,001,1991/04/14 00:00:00,228,
B58C0698,001,1991/04/27 00:00:00,228,
B58C0698,001,1991/05/28 00:00:00,248,
B58C0698,001,1991/06/14 00:00:00,263,
B58C0698,001,1991/06/28 00:00:00,261,
B58C0698,001,1991/07/28 00:00:00,291,
B58C0698,001,1991/08/14 00:00:00,313,
B58C0698,001,1991/08/28 00:00:00,327,
B58C0698,001,1991/09/13 00:00:00,338,
B58C0698,001,1991/09/29 00:00:00,322,
B58C0698,001,1991/10/14 00:00:00,321,
B58C0698,001,1991/10/28 00:00:00,317,
B58C0698,001,1991/11/14 00:00:00,278,
B58C0698,001,1991/11/28 00:00:00,261,
B58C0698,001,1991/12/14 00:00:00,258,
B58C0698,001,1991/12/28 00:00:00,222,
B58C0698,001,1992/01/14 00:00:00,216,
B58C0698,001,1992/01/28 00:00:00,223,
B58C0698,001,1992/02/15 00:00:00,211,
B58C0698,001,1992/02/29 00:00:00,214,
B58C0698,001,1992/03/14 00:00:00,213,
B58C0698,001,1992/03/27 00:00:00,207,
B58C0698,001,1992/04/13 00:00:00,215,
B58C0698,001,1992/04/28 00:00:00,210,
B58C0698,001,1992/05/13 00:00:00,216,
B58C0698,001,1992/05/28 00:00:00,246,
B58C0698,001,1992/06/14 00:00:00,231,
B58C0698,001,1992/06/28 00:00:00,256,
B58C0698,001,1992/07/13 00:00:00,281,
B58C0698,001,1992/07/27 00:00:00,296,
B58C0698,001,1992/08/14 00:00:00,301,
B58C0698,001,1992/08/27 00:00:00,296,
B58C0698,001,1992/09/13 00:00:00,263,
B58C0698,001,1992/09/27 00:00:00,275,
B58C0698,001,1992/10/15 00:00:00,276,
B58C0698,001,1992/10/28 00:00:00,264,
B58C0698,001,1992/11/13 00:00:00,255,
B58C0698,001,1992/11/27 00:00:00,228,
B58C0698,001,1992/12/14 00:00:00,201,
B58C0698,001,1992/12/29 00:00:00,199,
B58C0698,001,1993/01/14 00:00:00,176,
B58C0698,001,1993/01/28 00:00:00,165,
B58C0698,001,1993/02/15 00:00:00,185,
B58C0698,001,1993/02/27 00:00:00,179,
B58C0698,001,1993/03/14 00:00:00,191,
B58C0698,001,1993/04/14 00:00:00,209,
B58C0698,001,1993/04/27 00:00:00,218,
B58C0698,001,1993/05/14 00:00:00,216,
B58C0698,001,1993/05/29 00:00:00,233,
B58C0698,001,1993/06/14 00:00:00,258,
B58C0698,001,1993/06/28 00:00:00,272,
B58C0698,001,1993/07/13 00:00:00,294,
B58C0698,001,1993/07/28 00:00:00,268,
B58C0698,001,1993/08/14 00:00:00,276,
B58C0698,001,1993/08/28 00:00:00,291,
B58C0698,001,1993/09/14 00:00:00,281,
B58C0698,001,1993/09/27 00:00:00,234,
B58C0698,001,1993/10/13 00:00:00,221,
B58C0698,001,1993/10/28 00:00:00,215,
B58C0698,001,1993/11/15 00:00:00,216,
B58C0698,001,1993/11/29 00:00:00,218,
B58C0698,001,1993/12/13 00:00:00,193,
B58C0698,001,1993/12/29 00:00:00,158,
B58C0698,001,1994/01/13 00:00:00,147,
B58C0698,001,1994/01/27 00:00:00,137,
B58C0698,001,1994/02/15 00:00:00,167,
B58C0698,001,1994/02/28 00:00:00,171,
B58C0698,001,1994/03/14 00:00:00,170,
B58C0698,001,1994/03/28 00:00:00,158,
B58C0698,001,1994/04/14 00:00:00,151,
B58C0698,001,1994/04/29 00:00:00,180,
B58C0698,001,1994/05/13 00:00:00,194,
B58C0698,001,1994/05/28 00:00:00,200,
B58C0698,001,1994/06/15 00:00:00,201,
B58C0698,001,1994/06/28 00:00:00,236,
B58C0698,001,1994/07/14 00:00:00,259,
B58C0698,001,1994/07/27 00:00:00,284,
B58C0698,001,1994/08/15 00:00:00,298,
B58C0698,001,1994/08/27 00:00:00,286,
B58C0698,001,1994/09/15 00:00:00,278,
B58C0698,001,1994/09/29 00:00:00,250,
B58C0698,001,1994/10/14 00:00:00,244,
B58C0698,001,1994/10/28 00:00:00,253,
B58C0698,001,1994/11/14 00:00:00,230,
B58C0698,001,1994/11/28 00:00:00,225,
B58C0698,001,1994/12/13 00:00:00,213,
B58C0698,001,1994/12/29 00:00:00,195,
B58C0698,001,1995/01/13 00:00:00,186,
B58C0698,001,1995/01/27 00:00:00,161,
B58C0698,001,1995/02/14 00:00:00,147,
B58C0698,001,1995/02/28 00:00:00,137,
B58C0698,001,1995/03/13 00:00:00,157,
B58C0698,001,1995/03/28 00:00:00,152,
B58C0698,001,1995/04/13 00:00:00,166,
B58C0698,001,1995/04/27 00:00:00,172,
B58C0698,001,1995/05/15 00:00:00,213,
B58C0698,001,1995/05/29 00:00:00,205,
B58C0698,001,1995/06/28 00:00:00,226,
B58C0698,001,1995/07/14 00:00:00,260,
B58C0698,001,1995/07/29 00:00:00,288,
B58C0698,001,1995/09/13 00:00:00,305,
B58C0698,001,1995/09/27 00:00:00,297,
B58C0698,001,1995/10/13 00:00:00,284,
B58C0698,001,1995/10/27 00:00:00,286,
B58C0698,001,1995/11/14 00:00:00,282,
B58C0698,001,1995/11/27 00:00:00,277,
B58C0698,001,1995/12/14 00:00:00,277,
B58C0698,001,1995/12/28 00:00:00,258,
B58C0698,001,1996/01/15 00:00:00,257,
B58C0698,001,1996/01/29 00:00:00,258,
B58C0698,001,1996/02/14 00:00:00,266,
B58C0698,001,1996/02/29 00:00:00,246,
B58C0698,001,1996/03/14 00:00:00,242,
B58C0698,001,1996/03/28 00:00:00,243,
B58C0698,001,1996/04/13 00:00:00,252,
B58C0698,001,1996/04/28 00:00:00,262,
B58C0698,001,1996/05/14 00:00:00,269,
B58C0698,001,1996/06/15 00:00:00,313,
B58C0698,001,1996/07/27 00:00:00,346,
B58C0698,001,1996/08/14 00:00:00,330,
B58C0698,001,1996/08/29 00:00:00,303,
B58C0698,001,1996/09/13 00:00:00,267,
B58C0698,001,1996/09/27 00:00:00,278,
B58C0698,001,1996/10/14 00:00:00,266,
B58C0698,001,1996/10/28 00:00:00,265,
B58C0698,001,1996/11/15 00:00:00,242,
B58C0698,001,1996/11/28 00:00:00,228,
B58C0698,001,1996/12/14 00:00:00,210,
B58C0698,001,1996/12/28 00:00:00,212,
B58C0698,001,1997/01/14 00:00:00,235,
B58C0698,001,1997/02/14 00:00:00,196,
B58C0698,001,1997/02/28 00:00:00,183,
B58C0698,001,1997/03/13 00:00:00,197,
B58C0698,001,1997/03/27 00:00:00,198,
B58C0698,001,1997/04/14 00:00:00,211,
B58C0698,001,1997/05/14 00:00:00,203,
B58C0698,001,1997/05/28 00:00:00,208,
B58C0698,001,1997/06/13 00:00:00,236,
B58C0698,001,1997/06/27 00:00:00,241,
B58C0698,001,1997/07/29 00:00:00,246,
B58C0698,001,1997/08/14 00:00:00,280,
B58C0698,001,1997/08/27 00:00:00,291,
B58C0698,001,1997/09/15 00:00:00,286,
B58C0698,001,1997/09/29 00:00:00,296,
B58C0698,001,1997/10/14 00:00:00,279,
B58C0698,001,1997/10/29 00:00:00,273,
B58C0698,001,1997/11/13 00:00:00,271,
