Peildatum,B58C0698_1
2002-08-28,28.080000000000002
2002-11-15,28.240000000000002
2003-01-15,28.54
2003-01-27,28.47
2003-02-14,28.43
2003-02-28,28.34
2003-03-14,28.54
2003-03-28,28.37
2003-04-14,28.25
2003-04-28,28.17
2003-05-15,28.04
2003-05-28,28.18
2003-06-16,27.89
2003-07-15,27.46
2003-08-29,27.1
2003-09-15,27.21
2004-01-30,28.17
2004-02-13,28.34
2004-02-27,28.310000000000002
2004-03-13,
2004-03-26,28.19
2004-04-14,28.21
2004-04-28,28.1
2004-05-14,28.0
2004-05-28,27.79
2004-06-14,27.78
2004-06-28,27.490000000000002
2004-08-14,27.55
2004-08-28,27.560000000000002
2004-09-14,27.35
2004-09-28,27.45
2004-10-14,27.47
2004-10-28,27.47
2004-11-14,27.51
2004-11-28,27.89
2004-12-14,27.94
2004-12-28,28.04
2005-01-14,28.04
2005-01-28,28.19
2005-02-14,28.400000000000002
2005-02-28,28.29
2005-03-14,28.34
2005-03-28,28.27
2005-04-14,28.2
2005-04-28,28.240000000000002
2005-05-14,28.240000000000002
2005-05-28,28.04
2005-07-14,27.6
2005-07-28,27.39
2005-08-14,27.36
2005-08-28,27.41
2005-09-14,27.41
2005-09-28,27.43
2005-10-14,27.330000000000002
2005-10-28,27.47
2005-11-14,27.5
2005-11-28,27.740000000000002
2005-12-14,27.8
2005-12-28,27.86
2006-01-14,27.93
2006-01-28,27.89
2006-02-14,28.0
2006-02-28,28.13
2006-03-14,28.32
2006-03-28,28.25
2006-04-14,28.240000000000002
2006-04-28,28.17
2006-05-14,27.91
2006-05-28,28.05
2006-06-14,27.79
2006-06-28,27.64
2006-07-14,27.26
2006-07-28,26.86
2006-08-14,27.29
2006-08-28,27.52
2006-09-14,27.52
2006-09-28,27.41
2006-10-14,27.53
2006-10-28,27.47
2006-11-14,27.61
2006-11-28,27.79
2006-12-14,27.95
2006-12-28,27.96
2007-01-14,28.21
2007-01-28,28.25
2007-03-14,28.53
2007-03-28,28.38
2007-04-14,28.2
2007-04-28,27.94
2007-05-14,27.93
2007-05-28,27.94
2007-06-14,27.830000000000002
2007-06-28,27.810000000000002
2007-07-14,27.77
2007-07-28,27.64
2007-08-14,27.89
2007-08-28,27.87
2007-09-14,27.72
2007-09-28,27.75
2007-10-14,27.78
2007-10-28,27.69
2007-11-14,28.07
2007-11-28,28.05
2007-12-14,28.27
2007-12-28,28.2
2008-01-14,28.28
2008-01-28,28.32
2008-02-14,28.36
2008-02-28,28.28
2008-03-14,28.3
2008-03-28,28.45
2008-04-14,28.490000000000002
2008-04-28,28.44
2008-05-14,
2008-05-28,28.0
2008-06-14,28.0
2008-06-28,27.87
2008-07-14,27.82
2008-07-28,27.69
2008-08-14,27.66
2008-08-28,27.580000000000002
2008-09-14,27.490000000000002
2008-09-28,27.43
2008-10-14,27.6
2008-10-28,27.67
2008-11-14,27.740000000000002
2008-11-28,27.87
2008-12-14,27.93
2008-12-28,27.95
2009-01-14,27.97
2009-01-28,28.04
2009-02-14,28.2
2009-02-28,28.21
2009-03-14,28.28
2009-03-28,28.330000000000002
2009-04-14,28.19
2009-04-28,28.080000000000002
2009-05-14,27.89
2009-05-28,27.650000000000002
2009-06-14,27.71
2009-06-28,27.37
2009-07-14,27.29
2009-07-28,27.39
2009-08-14,27.16
2009-08-28,26.96
2009-09-14,26.990000000000002
2009-09-28,26.97
2009-10-14,27.45
2009-10-28,27.3
2009-11-14,27.64
2009-11-28,27.86
2009-12-14,28.03
2009-12-28,28.11
2010-01-14,28.17
2010-01-28,28.23
2010-02-14,28.310000000000002
2010-02-28,28.45
2010-03-14,28.39
2010-03-28,28.44
2010-04-14,28.35
2010-04-28,28.17
2010-05-14,28.2
2010-05-28,28.04
2010-06-14,27.810000000000002
2010-06-28,27.45
2010-07-14,27.28
2010-07-28,27.18
2010-08-14,27.13
2010-08-28,27.41
2010-09-14,27.62
2010-09-28,27.73
2010-10-14,
2010-10-28,
2010-11-14,28.2
2010-11-28,28.240000000000002
2011-01-14,28.6
2011-01-28,28.54
2011-02-14,28.62
2011-02-28,28.64
2011-03-14,28.44
2011-03-28,28.36
2011-04-14,28.27
2011-04-28,28.04
2011-05-14,27.78
2011-05-28,27.490000000000002
2011-06-14,27.47
2011-06-28,27.490000000000002
2011-07-14,27.29
2011-07-28,27.53
2011-08-14,27.44
2011-08-28,27.650000000000002
2011-09-14,27.650000000000002
2011-09-28,27.54
2011-10-14,27.55
2011-10-28,27.560000000000002
2011-11-14,27.54
2011-11-28,27.55
2011-12-14,27.72
2011-12-28,28.04
2012-01-14,28.25
2012-01-28,28.330000000000002
2012-02-14,
2012-02-28,28.3
2012-03-14,28.29
2012-03-28,28.060000000000002
2012-04-14,28.17
2012-04-28,28.09
2012-05-14,28.05
2012-05-28,27.73
2012-06-14,27.91
2012-06-28,27.86
2012-07-14,27.92
2012-07-28,27.6
2012-08-14,27.400000000000002
2012-08-28,27.46
2012-09-14,27.34
2012-09-28,27.52
2012-10-14,27.71
2012-10-28,27.52
2012-11-14,27.71
2012-11-28,27.79
2012-12-14,27.97
2012-12-28,28.3
2013-01-14,28.34
2013-02-14,28.41
2013-02-28,28.400000000000002
2013-03-14,28.39
2013-03-28,28.41
2013-04-14,28.23
2013-04-28,28.16
2013-05-14,28.1
2013-05-28,28.17
2013-06-14,27.86
2013-06-28,27.810000000000002
2013-07-14,27.54
2013-07-28,27.51
2013-08-14,27.26
2013-08-28,27.21
2013-09-14,27.310000000000002
2013-09-28,27.400000000000002
2013-10-14,27.44
2013-10-28,27.55
2013-11-14,27.85
2013-11-28,27.88
2013-12-14,27.92
2013-12-28,28.13
2014-01-14,28.18
2014-01-28,28.23
2014-02-14,28.23
2014-02-28,28.25
2014-03-14,28.16
2014-03-28,28.11
2014-04-14,27.97
2014-04-28,27.87
2014-05-14,27.89
2014-05-28,27.8
2014-06-14,27.72
2014-06-28,27.36
2014-07-14,27.86
2014-07-28,27.77
2014-08-14,27.84
2014-08-28,27.97
2014-09-14,27.82
2014-09-28,27.76
2014-10-14,27.92
2014-10-28,28.02
2014-11-14,27.85
2014-11-28,27.900000000000002
2014-12-14,27.96
2014-12-28,28.11
2015-01-14,28.43
2015-01-28,28.45
2015-02-14,28.41
2015-02-28,28.45
2015-03-14,28.38
2015-03-28,28.330000000000002
2015-04-14,28.310000000000002
2015-04-28,28.23
2015-05-14,28.080000000000002
2015-05-28,27.82
2015-06-14,27.75
2015-06-28,27.57
