Date,Head
1992-06-30,78.73
1992-07-15,78.75
1992-08-01,78.78
1992-08-15,78.77
1992-09-01,78.82
1992-09-14,78.8
1992-09-15,78.8
1992-10-01,78.77
1992-10-14,78.74
1992-11-01,78.86
1992-11-15,78.89
1992-11-30,78.93
1992-12-13,78.99
1993-01-04,78.96
1993-01-15,78.94
1993-02-01,78.95
1993-02-12,78.96
1993-02-28,78.93
1993-03-15,78.96
1993-04-01,78.89
1993-04-15,78.87
1993-05-02,78.83
1993-05-15,78.8
1993-06-01,78.75
1993-06-16,78.66
1993-07-01,78.62
1993-07-14,78.58
1993-07-30,78.47
1993-08-15,78.51
1993-08-31,78.65
1993-09-15,78.71
1993-09-30,78.66
1993-10-15,78.73
1993-11-01,78.81
1993-11-15,78.77
1993-12-01,78.79
1993-12-14,78.81
1994-01-02,78.78
1994-01-14,78.83
1994-02-02,78.85
1994-02-15,78.81
1994-02-28,78.77
1994-03-14,78.88
1994-03-31,78.95
1994-04-15,78.98
1994-05-02,78.98
1994-05-13,78.94
1994-06-02,78.78
1994-06-15,78.81
1994-07-02,78.78
1994-07-14,78.75
1994-07-31,78.66
1994-08-15,78.56
1994-08-16,78.56
1994-09-05,78.52
1994-09-15,78.54
1994-09-30,78.67
1994-10-15,78.8
1994-11-02,78.82
1994-11-15,78.85
1994-12-01,78.82
1994-12-14,78.84
1994-12-15,78.84
1995-01-02,78.85
1995-01-15,78.81
1995-02-01,78.84
1995-02-15,78.87
1995-03-01,78.9
1995-03-15,78.88
1995-04-01,78.94
1995-04-15,78.99
1995-05-01,79.05
1995-05-15,79.07
1995-06-15,79.11
1995-07-01,79.04
1995-07-15,79.01
1995-08-02,78.97
1995-08-16,78.91
1995-09-01,78.73
1995-09-15,78.71
1995-09-30,78.69
1995-10-15,78.65
1995-11-02,78.62
1995-11-15,78.64
1995-12-02,78.61
1995-12-12,78.58
1996-01-03,78.54
1996-01-15,78.49
1996-02-02,78.41
1996-02-14,78.43
1996-02-15,78.43
1996-03-02,78.4
1996-03-13,78.35
1996-03-31,78.25
1996-04-16,78.22
1996-04-28,78.35
1996-05-15,78.37
1996-06-01,78.36
1996-06-15,78.43
1996-07-01,78.41
1996-07-15,78.55
1996-07-31,78.49
1996-08-14,78.55
1996-08-31,78.59
1996-09-16,78.61
1996-10-01,78.57
1996-10-14,78.66
1996-10-30,78.68
1996-11-13,78.73
1996-12-01,78.74
1996-12-14,78.88
1997-01-01,78.86
1997-01-15,78.79
1997-01-31,78.96
1997-02-15,78.92
1997-03-15,78.91
1997-04-01,78.95
1997-04-14,78.88
1997-05-01,78.85
1997-05-13,78.94
1997-06-01,78.9
1997-06-15,78.84
1997-06-30,78.91
1997-07-15,78.78
1997-08-01,78.72
1997-08-17,78.63
1997-09-01,78.56
1997-09-15,78.61
1997-09-30,78.57
1997-10-15,78.67
1997-10-20,78.66
1997-11-01,78.64
1997-11-14,78.73
1997-11-29,78.68
1997-12-14,78.69
1998-01-01,78.73
1998-01-15,78.77
1998-01-31,78.96
1998-02-14,78.97
1998-02-28,79.02
1998-03-14,79.02
1998-03-30,79.01
1998-04-14,78.99
1998-05-01,79.0
1998-05-15,78.77
1998-06-01,78.89
1998-06-15,78.9
1998-07-01,78.83
1998-07-14,78.86
1998-07-30,78.91
1998-08-16,78.83
1998-09-01,78.82
1998-09-15,78.84
1998-10-01,78.82
1998-10-13,78.81
1998-11-01,78.86
1998-11-15,78.85
1998-12-02,78.83
1998-12-14,78.8
1998-12-15,78.8
1999-01-01,78.85
1999-01-14,78.91
1999-02-01,78.96
1999-02-14,79.01
1999-03-14,79.01
1999-04-01,79.06
1999-04-14,79.23
1999-05-02,79.24
1999-05-15,79.26
1999-06-01,79.2
1999-06-14,79.14
1999-06-15,79.14
1999-07-02,79.08
1999-07-15,78.96
1999-07-31,78.82
1999-08-15,78.89
1999-09-01,78.73
1999-09-15,78.64
1999-10-01,78.71
1999-10-15,78.71
1999-11-01,78.69
1999-11-15,78.65
1999-12-01,78.62
1999-12-14,78.57
2000-01-01,78.52
2000-01-16,78.47
2000-01-31,78.62
2000-02-14,78.82
2000-02-15,78.82
2000-02-29,78.84
2000-03-15,78.82
2000-03-31,78.87
2000-04-16,78.89
2000-04-30,78.91
2000-05-15,78.86
2000-05-31,78.85
2000-06-15,78.79
2000-07-14,78.72
2000-08-01,78.87
2000-08-15,78.83
2000-09-01,78.76
2000-09-15,78.72
2000-09-30,78.68
2000-10-15,78.71
2000-11-01,78.83
2000-11-15,78.89
2000-12-01,78.93
2000-12-15,79.06
2000-12-31,79.11
2001-01-15,79.04
2001-01-31,79.07
2001-02-15,79.1
2001-02-27,79.05
2001-03-15,79.11
2001-04-01,79.04
2001-04-15,79.02
2001-05-01,79.05
2001-05-15,79.01
2001-06-01,78.96
2001-06-15,78.92
2001-07-01,78.87
2001-07-15,78.84
2001-08-01,78.8
2001-08-15,78.77
2001-09-01,78.65
2001-09-15,78.62
2001-10-01,78.62
2001-10-14,78.65
2001-10-15,78.65
2001-10-31,78.64
2001-11-15,78.68
2001-12-01,78.66
2001-12-15,78.69
2001-12-30,78.65
2002-01-15,78.67
2002-01-31,78.72
2002-02-15,78.93
2002-02-28,78.96
2002-03-15,78.98
2002-03-16,78.98
2002-04-14,79.16
2002-05-01,79.08
2002-05-14,79.02
2002-05-30,79.0
2002-06-15,78.95
2002-06-16,78.95
2002-07-01,79.01
2002-07-14,78.91
2002-07-15,78.91
2002-08-01,79.01
2002-08-15,78.86
2002-08-30,78.8
2002-09-15,78.66
2002-10-01,78.61
2002-10-15,78.54
2002-11-01,78.5
2002-11-15,78.55
2002-12-01,78.58
2002-12-16,78.54
2002-12-30,78.61
2003-01-15,78.59
2003-01-31,78.69
2003-02-14,78.65
2003-03-01,78.65
2003-03-15,78.67
2003-03-31,78.74
2003-04-15,78.75
2003-05-01,78.79
2003-05-14,78.84
2003-06-01,78.85
2003-06-15,78.86
2003-06-30,78.8
2003-07-15,78.75
2003-07-29,78.69
2003-08-14,78.63
2003-08-30,78.63
2003-09-15,78.61
2003-09-30,78.53
2003-10-31,78.56
2003-11-15,78.61
2003-11-30,78.7
2003-12-13,78.76
2004-01-01,78.73
2004-01-14,78.88
2004-01-30,78.84
2004-02-15,78.88
2004-02-29,78.88
2004-03-13,78.88
2004-03-31,79.0
2004-04-15,79.03
2004-04-30,79.02
2004-05-15,78.93
2004-05-31,78.91
2004-06-15,78.94
2004-06-30,78.91
2004-07-15,78.89
2004-08-01,78.87
2004-08-15,78.76
2004-08-31,78.72
2004-09-15,78.67
2004-10-01,78.64
2004-10-15,78.62
2004-11-01,78.58
2004-11-15,78.54
2004-11-30,78.51
2004-12-15,78.61
2005-01-01,78.64
2005-01-15,78.71
2005-01-30,78.74
2005-02-14,78.71
2005-02-28,78.78
2005-03-15,78.76
2005-03-31,78.81
2005-04-14,78.83
2005-05-01,78.81
2005-05-15,78.76
2005-06-14,78.84
2005-07-01,78.76
2005-07-15,78.68
2005-08-01,78.71
2005-08-15,78.81
2005-08-31,78.78
2005-09-14,78.79
2005-10-01,78.71
2005-10-15,78.61
2005-10-30,78.55
2005-11-14,78.71
2005-11-28,78.72
2005-12-12,78.75
2005-12-30,78.7
2006-01-15,78.69
2006-01-29,78.66
2006-02-15,78.66
2006-02-26,78.63
2006-03-13,78.63
2006-03-31,78.59
2006-04-15,78.72
2006-04-30,78.97
2006-05-15,79.02
2006-05-28,78.99
2006-06-12,79.0
2006-07-01,78.87
2006-07-15,78.85
2006-08-01,78.91
2006-08-13,78.68
2006-08-29,78.69
2006-09-18,78.62
2006-09-30,78.57
2006-10-15,78.52
2006-10-30,78.7
2006-11-13,78.8
2006-11-26,78.92
2006-12-12,78.91
2006-12-27,78.92
2007-01-14,78.87
2007-01-28,78.92
2007-02-17,78.69
2007-02-24,78.73
2007-03-13,78.95
2007-03-25,79.0
2007-04-07,78.97
2007-04-30,78.92
2007-05-13,78.87
2007-06-02,78.95
2007-06-15,78.97
2007-07-04,78.79
2007-07-16,78.79
2007-08-03,78.67
2007-08-16,78.63
2007-09-02,78.57
2007-09-16,78.56
2007-10-01,78.57
2007-10-15,78.47
2007-10-29,78.43
2007-11-13,78.49
2007-12-01,78.47
2007-12-09,78.59
2007-12-31,78.52
2008-01-13,78.82
2008-01-31,78.85
2008-02-16,78.92
2008-03-02,78.89
2008-03-15,78.95
2008-04-01,78.94
2008-04-12,78.97
2008-04-28,78.95
2008-05-16,78.89
2008-06-01,78.88
2008-06-14,78.8
2008-07-14,78.68
2008-07-31,78.5
2008-08-15,78.56
2008-08-30,78.66
2008-09-13,78.65
2008-09-28,78.7
2008-11-01,78.73
2008-11-15,78.82
2008-11-30,78.84
2008-12-07,78.97
2009-01-04,79.02
2009-01-15,79.03
2009-01-31,78.99
2009-02-15,78.95
2009-03-01,78.87
2009-03-31,79.03
2009-04-17,78.97
2009-05-01,78.95
2009-05-30,78.85
2009-06-14,78.87
2009-07-12,79.06
2009-08-15,79.09
2009-09-20,79.02
2009-10-03,78.93
2009-10-17,78.88
2009-11-01,78.91
2009-11-13,78.83
2009-11-30,78.84
2009-12-13,78.81
2010-01-08,78.83
