These potential Making evaporation time series were obtained from the gridded E-OBS database (Cornes et al.,2018; v22.0e). We acknowledge the E-OBS dataset from the EU-FP6 project UERRA (https://www.uerra.eu) and the Copernicus Climate Change Service, and the data providers in the ECA&D project (https://www.ecad.eu). 

Date,Evaporation
1980-01-01,0.5309383869171143
1980-01-02,0.4734814763069153
1980-01-03,0.4789327383041382
1980-01-04,0.5634886026382446
1980-01-05,0.1811416000127792
1980-01-06,0.2293291687965393
1980-01-07,0.2326277643442154
1980-01-08,0.3048883378505707
1980-01-09,0.302042543888092
1980-01-10,0.282202810049057
1980-01-11,0.2672155499458313
1980-01-12,0.2117937058210373
1980-01-13,0.382614254951477
1980-01-14,0.272555410861969
1980-01-15,0.1895518451929092
1980-01-16,0.1908930391073227
1980-01-17,0.179878756403923
1980-01-18,0.2229811549186706
1980-01-19,0.2098449319601059
1980-01-20,0.1932560503482818
1980-01-21,0.229281798005104
1980-01-22,0.2564147710800171
1980-01-23,0.3418310582637787
1980-01-24,0.3398456871509552
1980-01-25,0.2978782951831817
1980-01-26,0.2697781026363373
1980-01-27,0.4347490668296814
1980-01-28,0.6839879155158997
1980-01-29,0.5520254373550415
1980-01-30,0.5532664656639099
1980-01-31,0.5767201781272888
1980-02-01,0.4387121796607971
1980-02-02,0.7428467869758606
1980-02-03,0.764819324016571
1980-02-04,0.958095133304596
1980-02-05,0.4123633801937103
1980-02-06,0.7083317637443542
1980-02-07,0.3765516281127929
1980-02-08,0.9357680082321168
1980-02-09,1.0884361267089844
1980-02-10,0.6322227716445923
1980-02-11,0.4713143110275268
1980-02-12,1.0165810585021973
1980-02-13,0.958311140537262
1980-02-14,0.702928364276886
1980-02-15,0.9646367430686952
1980-02-16,0.7333375811576843
1980-02-17,0.7883382439613342
1980-02-18,0.6403933763504028
1980-02-19,0.6744022369384766
1980-02-20,1.0718010663986206
1980-02-21,1.149349570274353
1980-02-22,1.2006763219833374
1980-02-23,0.8575825691223145
1980-02-24,1.070529580116272
1980-02-25,1.411892652511597
1980-02-26,1.4369746446609497
1980-02-27,1.092742681503296
1980-02-28,0.8269502520561218
1980-02-29,0.7595914006233215
1980-03-01,1.377174735069275
1980-03-02,1.272566795349121
1980-03-03,0.9942529201507568
1980-03-04,1.2903451919555664
1980-03-05,1.552596926689148
1980-03-06,1.2618964910507202
1980-03-07,1.059905171394348
1980-03-08,0.8434603810310364
1980-03-09,0.7804015278816223
1980-03-10,1.3046824932098389
1980-03-11,1.3392237424850464
1980-03-12,1.0697033405303955
1980-03-13,0.9867274761199952
1980-03-14,1.5330528020858765
1980-03-15,0.7508387565612793
1980-03-16,0.7529715895652771
1980-03-17,1.6201335191726685
1980-03-18,1.992248296737671
1980-03-19,1.665681004524231
1980-03-20,0.5954883098602295
1980-03-21,0.5688205361366272
1980-03-22,1.0977375507354736
1980-03-23,0.6722689867019653
1980-03-24,0.5413360595703125
1980-03-25,1.3883464336395264
1980-03-26,1.6137911081314087
1980-03-27,1.6017472743988037
1980-03-28,2.3773059844970703
1980-03-29,1.7852660417556765
1980-03-30,1.4765608310699463
1980-03-31,2.4362058639526367
1980-04-01,1.2946624755859375
1980-04-02,2.019571304321289
1980-04-03,2.0281870365142822
1980-04-04,0.9882616996765136
1980-04-05,1.3875259160995483
1980-04-06,1.2943540811538696
1980-04-07,0.7255131602287292
1980-04-08,1.4181129932403564
1980-04-09,1.6196110248565674
1980-04-10,2.305583000183105
1980-04-11,1.974047303199768
1980-04-12,2.1665053367614746
1980-04-13,3.006444215774536
1980-04-14,3.285111904144287
1980-04-15,3.469293594360352
1980-04-16,3.3299403190612797
1980-04-17,3.616955280303955
1980-04-18,2.4058237075805664
1980-04-19,1.3682234287261963
1980-04-20,1.033248782157898
1980-04-21,1.054950714111328
1980-04-22,0.8091650605201721
1980-04-23,1.942612886428833
1980-04-24,1.2680710554122925
1980-04-25,1.2025678157806396
1980-04-26,2.5802838802337646
1980-04-27,1.0843524932861328
1980-04-28,1.1294429302215576
1980-04-29,2.140734434127808
1980-04-30,2.4757182598114014
1980-05-01,2.1337969303131104
1980-05-02,2.933011293411255
1980-05-03,1.6402268409729004
1980-05-04,1.0277611017227173
1980-05-05,0.9976730346679688
1980-05-06,1.9564698934555051
1980-05-07,3.008363962173462
1980-05-08,3.808313369750977
1980-05-09,2.2650797367095947
1980-05-10,0.9400188326835632
1980-05-11,3.5597243309021
1980-05-12,4.118990898132324
1980-05-13,3.888113498687744
1980-05-14,2.8809735774993896
1980-05-15,2.422252655029297
1980-05-16,1.7565796375274658
1980-05-17,2.1637156009674072
1980-05-18,1.9859627485275269
1980-05-19,2.069003105163574
1980-05-20,3.083820343017578
1980-05-21,3.352151393890381
1980-05-22,2.7110090255737305
1980-05-23,2.3227155208587646
1980-05-24,2.789433002471924
1980-05-25,3.106660842895508
1980-05-26,4.083986759185791
1980-05-27,4.0836710929870605
1980-05-28,2.068525075912476
1980-05-29,2.978750944137573
1980-05-30,3.12794041633606
1980-05-31,2.2500433921813965
1980-06-01,2.2530505657196045
1980-06-02,3.488637685775757
1980-06-03,3.3420541286468506
1980-06-04,2.7761738300323486
1980-06-05,2.736456632614136
1980-06-06,2.996786832809448
1980-06-07,3.5445830821990967
1980-06-08,1.951788663864136
1980-06-09,2.2589356899261475
1980-06-10,2.4404067993164062
1980-06-11,4.121603488922119
1980-06-12,4.883666515350342
1980-06-13,5.00660514831543
1980-06-14,5.38243579864502
1980-06-15,4.550069808959961
1980-06-16,4.483910083770752
1980-06-17,3.137136697769165
1980-06-18,1.1373965740203855
