Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,22-01-2021,,,,,,,,
Gegevens beschikbaar:,28-08-1973,tot:,14-09-2018,,,,,,,,
Datum: ,22-01-2021,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B46D0731,001,46DP0056,194682,401054,1781,28-08-1973,28-08-1973,08-11-1994,1781,0,984,884
B46D0731,001,46DP0056,194682,401054,1781,08-11-1994,08-11-1994,04-01-2011,1772,-9,1018,918
B46D0731,001,46DP0056,194682,401054,1778,04-01-2011,04-01-2011,02-07-2013,1867,89,1018,918
B46D0731,001,46DP0056,194682,401054,1778,02-07-2013,02-07-2013,14-09-2018,1858,80,1018,918


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B46D0731,001,27-05-1977,241,241,1540,,,,,,
B46D0731,001,14-06-1977,248,248,1533,,,,,,
B46D0731,001,29-06-1977,261,261,1520,,,,,,
B46D0731,001,14-07-1977,261,261,1520,,,,,,
B46D0731,001,29-07-1977,267,267,1514,,,,,,
B46D0731,001,15-08-1977,274,274,1507,,,,,,
B46D0731,001,29-08-1977,267,267,1514,,,,,,
B46D0731,001,14-09-1977,269,269,1512,,,,,,
B46D0731,001,28-09-1977,276,276,1505,,,,,,
B46D0731,001,14-10-1977,277,277,1504,,,,,,
B46D0731,001,28-10-1977,280,280,1501,,,,,,
B46D0731,001,14-11-1977,276,276,1505,,,,,,
B46D0731,001,28-11-1977,258,258,1523,,,,,,
B46D0731,001,14-12-1977,246,246,1535,,,,,,
B46D0731,001,28-12-1977,238,238,1543,,,,,,
B46D0731,001,13-01-1978,230,230,1551,,,,,,
B46D0731,001,27-01-1978,223,223,1558,,,,,,
B46D0731,001,14-02-1978,220,220,1561,,,,,,
B46D0731,001,28-02-1978,226,226,1555,,,,,,
B46D0731,001,15-03-1978,228,228,1553,,,,,,
B46D0731,001,29-03-1978,214,214,1567,,,,,,
B46D0731,001,15-04-1978,209,209,1572,,,,,,
B46D0731,001,28-04-1978,214,214,1567,,,,,,
B46D0731,001,16-05-1978,216,216,1565,,,,,,
B46D0731,001,29-05-1978,220,220,1561,,,,,,
B46D0731,001,15-06-1978,230,230,1551,,,,,,
B46D0731,001,28-06-1978,237,237,1544,,,,,,
B46D0731,001,14-07-1978,222,222,1559,,,,,,
B46D0731,001,28-07-1978,226,226,1555,,,,,,
B46D0731,001,14-08-1978,237,237,1544,,,,,,
B46D0731,001,28-08-1978,243,243,1538,,,,,,
B46D0731,001,14-09-1978,247,247,1534,,,,,,
B46D0731,001,28-09-1978,251,251,1530,,,,,,
B46D0731,001,13-10-1978,237,237,1544,,,,,,
B46D0731,001,30-10-1978,238,238,1543,,,,,,
B46D0731,001,15-11-1978,241,241,1540,,,,,,
B46D0731,001,29-11-1978,244,244,1537,,,,,,
B46D0731,001,15-12-1978,247,247,1534,,,,,,
B46D0731,001,29-12-1978,228,228,1553,,,,,,
B46D0731,001,15-01-1979,208,208,1573,,,,,,
B46D0731,001,29-01-1979,201,201,1580,,,,,,
B46D0731,001,14-02-1979,182,182,1599,,,,,,
B46D0731,001,28-02-1979,177,177,1604,,,,,,
B46D0731,001,15-03-1979,151,151,1630,,,,,,
B46D0731,001,28-03-1979,142,142,1639,,,,,,
B46D0731,001,13-04-1979,158,158,1623,,,,,,
B46D0731,001,27-04-1979,167,167,1614,,,,,,
B46D0731,001,14-05-1979,165,165,1616,,,,,,
B46D0731,001,28-05-1979,175,175,1606,,,,,,
B46D0731,001,14-06-1979,176,176,1605,,,,,,
B46D0731,001,28-06-1979,186,186,1595,,,,,,
B46D0731,001,16-07-1979,198,198,1583,,,,,,
B46D0731,001,28-07-1979,202,202,1579,,,,,,
B46D0731,001,14-08-1979,208,208,1573,,,,,,
B46D0731,001,28-08-1979,214,214,1567,,,,,,
B46D0731,001,14-09-1979,221,221,1560,,,,,,
B46D0731,001,28-09-1979,227,227,1554,,,,,,
B46D0731,001,15-10-1979,233,233,1548,,,,,,
B46D0731,001,29-10-1979,239,239,1542,,,,,,
B46D0731,001,15-11-1979,232,232,1549,,,,,,
B46D0731,001,29-11-1979,230,230,1551,,,,,,
B46D0731,001,14-12-1979,227,227,1554,,,,,,
B46D0731,001,28-12-1979,199,199,1582,,,,,,
B46D0731,001,14-01-1980,181,181,1600,,,,,,
B46D0731,001,28-01-1980,196,196,1585,,,,,,
B46D0731,001,14-02-1980,163,163,1618,,,,,,
B46D0731,001,28-02-1980,183,183,1598,,,,,,
B46D0731,001,17-03-1980,187,187,1594,,,,,,
B46D0731,001,28-03-1980,188,188,1593,,,,,,
B46D0731,001,14-04-1980,173,173,1608,,,,,,
B46D0731,001,28-04-1980,187,187,1594,,,,,,
B46D0731,001,14-05-1980,202,202,1579,,,,,,
B46D0731,001,28-05-1980,215,215,1566,,,,,,
B46D0731,001,14-06-1980,243,243,1538,,,,,,
B46D0731,001,30-06-1980,243,243,1538,,,,,,
B46D0731,001,14-07-1980,225,225,1556,,,,,,
B46D0731,001,28-07-1980,193,193,1588,,,,,,
B46D0731,001,14-08-1980,211,211,1570,,,,,,
B46D0731,001,28-08-1980,222,222,1559,,,,,,
B46D0731,001,15-09-1980,233,233,1548,,,,,,
B46D0731,001,29-09-1980,238,238,1543,,,,,,
B46D0731,001,14-10-1980,238,238,1543,,,,,,
B46D0731,001,28-10-1980,241,241,1540,,,,,,
B46D0731,001,14-11-1980,242,242,1539,,,,,,
B46D0731,001,28-11-1980,233,233,1548,,,,,,
B46D0731,001,15-12-1980,228,228,1553,,,,,,
B46D0731,001,29-12-1980,213,213,1568,,,,,,
B46D0731,001,14-01-1981,183,183,1598,,,,,,
B46D0731,001,28-01-1981,165,165,1616,,,,,,
B46D0731,001,16-02-1981,162,162,1619,,,,,,
B46D0731,001,27-02-1981,175,175,1606,,,,,,
B46D0731,001,16-03-1981,143,143,1638,,,,,,
B46D0731,001,27-03-1981,157,157,1624,,,,,,
B46D0731,001,14-04-1981,180,180,1601,,,,,,
B46D0731,001,28-04-1981,195,195,1586,,,,,,
B46D0731,001,14-05-1981,208,208,1573,,,,,,
B46D0731,001,29-05-1981,217,217,1564,,,,,,
B46D0731,001,15-06-1981,225,225,1556,,,,,,
B46D0731,001,29-06-1981,233,233,1548,,,,,,
B46D0731,001,14-07-1981,228,228,1553,,,,,,
B46D0731,001,28-07-1981,227,227,1554,,,,,,
B46D0731,001,14-08-1981,236,236,1545,,,,,,
B46D0731,001,28-08-1981,242,242,1539,,,,,,
B46D0731,001,14-09-1981,252,252,1529,,,,,,
B46D0731,001,28-09-1981,253,253,1528,,,,,,
B46D0731,001,14-10-1981,254,254,1527,,,,,,
B46D0731,001,28-10-1981,232,232,1549,,,,,,
B46D0731,001,13-11-1981,221,221,1560,,,,,,
B46D0731,001,27-11-1981,215,215,1566,,,,,,
B46D0731,001,14-12-1981,194,194,1587,,,,,,
B46D0731,001,28-12-1981,191,191,1590,,,,,,
B46D0731,001,15-01-1982,170,170,1611,,,,,,
B46D0731,001,28-01-1982,177,177,1604,,,,,,
B46D0731,001,15-02-1982,170,170,1611,,,,,,
B46D0731,001,01-03-1982,178,178,1603,,,,,,
B46D0731,001,15-03-1982,161,161,1620,,,,,,
B46D0731,001,29-03-1982,165,165,1616,,,,,,
B46D0731,001,14-04-1982,183,183,1598,,,,,,
B46D0731,001,29-04-1982,192,192,1589,,,,,,
B46D0731,001,14-05-1982,201,201,1580,,,,,,
B46D0731,001,28-05-1982,211,211,1570,,,,,,
B46D0731,001,15-06-1982,231,231,1550,,,,,,
B46D0731,001,28-06-1982,238,238,1543,,,,,,
B46D0731,001,14-07-1982,240,240,1541,,,,,,
B46D0731,001,28-07-1982,249,249,1532,,,,,,
B46D0731,001,13-08-1982,258,258,1523,,,,,,
B46D0731,001,27-08-1982,254,254,1527,,,,,,
B46D0731,001,14-09-1982,257,257,1524,,,,,,
B46D0731,001,28-09-1982,254,254,1527,,,,,,
B46D0731,001,14-10-1982,251,251,1530,,,,,,
B46D0731,001,28-10-1982,239,239,1542,,,,,,
B46D0731,001,15-11-1982,242,242,1539,,,,,,
B46D0731,001,29-11-1982,247,247,1534,,,,,,
B46D0731,001,14-12-1982,233,233,1548,,,,,,
B46D0731,001,28-12-1982,222,222,1559,,,,,,
B46D0731,001,14-01-1983,212,212,1569,,,,,,
B46D0731,001,28-01-1983,206,206,1575,,,,,,
B46D0731,001,14-02-1983,186,186,1595,,,,,,
B46D0731,001,28-02-1983,195,195,1586,,,,,,
B46D0731,001,14-03-1983,197,197,1584,,,,,,
B46D0731,001,28-03-1983,183,183,1598,,,,,,
B46D0731,001,14-04-1983,165,165,1616,,,,,,
B46D0731,001,28-04-1983,163,163,1618,,,,,,
B46D0731,001,14-05-1983,160,160,1621,,,,,,
B46D0731,001,30-05-1983,132,132,1649,,,,,,
B46D0731,001,14-06-1983,152,152,1629,,,,,,
B46D0731,001,28-06-1983,173,173,1608,,,,,,
B46D0731,001,14-07-1983,188,188,1593,,,,,,
B46D0731,001,28-07-1983,205,205,1576,,,,,,
B46D0731,001,15-08-1983,218,218,1563,,,,,,
B46D0731,001,29-08-1983,231,231,1550,,,,,,
B46D0731,001,14-09-1983,238,238,1543,,,,,,
B46D0731,001,28-09-1983,238,238,1543,,,,,,
B46D0731,001,17-10-1983,242,242,1539,,,,,,
B46D0731,001,27-10-1983,246,246,1535,,,,,,
B46D0731,001,14-11-1983,250,250,1531,,,,,,
B46D0731,001,28-11-1983,253,253,1528,,,,,,
B46D0731,001,14-12-1983,238,238,1543,,,,,,
B46D0731,001,27-12-1983,238,238,1543,,,,,,
B46D0731,001,13-01-1984,228,228,1553,,,,,,
B46D0731,001,27-01-1984,218,218,1563,,,,,,
B46D0731,001,14-02-1984,186,186,1595,,,,,,
B46D0731,001,28-02-1984,201,201,1580,,,,,,
B46D0731,001,14-03-1984,209,209,1572,,,,,,
B46D0731,001,28-03-1984,215,215,1566,,,,,,
B46D0731,001,13-04-1984,218,218,1563,,,,,,
B46D0731,001,27-04-1984,219,219,1562,,,,,,
B46D0731,001,14-05-1984,220,220,1561,,,,,,
B46D0731,001,28-05-1984,205,205,1576,,,,,,
B46D0731,001,14-06-1984,172,172,1609,,,,,,
B46D0731,001,28-06-1984,184,184,1597,,,,,,
B46D0731,001,13-07-1984,198,198,1583,,,,,,
B46D0731,001,27-07-1984,195,195,1586,,,,,,
B46D0731,001,14-08-1984,206,206,1575,,,,,,
B46D0731,001,28-08-1984,220,220,1561,,,,,,
B46D0731,001,14-09-1984,216,216,1565,,,,,,
B46D0731,001,28-09-1984,199,199,1582,,,,,,
B46D0731,001,15-10-1984,176,176,1605,,,,,,
B46D0731,001,29-10-1984,168,168,1613,,,,,,
B46D0731,001,14-11-1984,184,184,1597,,,,,,
B46D0731,001,27-11-1984,165,165,1616,,,,,,
B46D0731,001,14-12-1984,171,171,1610,,,,,,
B46D0731,001,28-12-1984,176,176,1605,,,,,,
B46D0731,001,14-01-1985,180,180,1601,,,,,,
B46D0731,001,28-01-1985,156,156,1625,,,,,,
B46D0731,001,14-02-1985,157,157,1624,,,,,,
B46D0731,001,28-02-1985,172,172,1609,,,,,,
B46D0731,001,14-03-1985,174,174,1607,,,,,,
B46D0731,001,28-03-1985,181,181,1600,,,,,,
B46D0731,001,15-04-1985,158,158,1623,,,,,,
B46D0731,001,29-04-1985,169,169,1612,,,,,,
B46D0731,001,14-05-1985,178,178,1603,,,,,,
B46D0731,001,28-05-1985,182,182,1599,,,,,,
B46D0731,001,14-06-1985,196,196,1585,,,,,,
B46D0731,001,27-06-1985,184,184,1597,,,,,,
B46D0731,001,15-07-1985,198,198,1583,,,,,,
B46D0731,001,29-07-1985,209,209,1572,,,,,,
B46D0731,001,13-08-1985,213,213,1568,,,,,,
B46D0731,001,28-08-1985,223,223,1558,,,,,,
B46D0731,001,13-09-1985,233,233,1548,,,,,,
B46D0731,001,27-09-1985,240,240,1541,,,,,,
B46D0731,001,14-10-1985,249,249,1532,,,,,,
B46D0731,001,28-10-1985,253,253,1528,,,,,,
B46D0731,001,14-11-1985,261,261,1520,,,,,,
B46D0731,001,28-11-1985,263,263,1518,,,,,,
B46D0731,001,13-12-1985,282,282,1499,,,,,,
B46D0731,001,30-12-1985,248,248,1533,,,,,,
B46D0731,001,14-01-1986,226,226,1555,,,,,,
B46D0731,001,28-01-1986,183,183,1598,,,,,,
B46D0731,001,13-02-1986,198,198,1583,,,,,,
B46D0731,001,28-02-1986,212,212,1569,,,,,,
B46D0731,001,14-03-1986,217,217,1564,,,,,,
B46D0731,001,28-03-1986,217,217,1564,,,,,,
B46D0731,001,14-04-1986,195,195,1586,,,,,,
B46D0731,001,28-04-1986,196,196,1585,,,,,,
B46D0731,001,14-05-1986,196,196,1585,,,,,,
B46D0731,001,28-05-1986,205,205,1576,,,,,,
B46D0731,001,13-06-1986,205,205,1576,,,,,,
B46D0731,001,27-06-1986,218,218,1563,,,,,,
B46D0731,001,14-07-1986,237,237,1544,,,,,,
B46D0731,001,28-07-1986,249,249,1532,,,,,,
B46D0731,001,14-08-1986,263,263,1518,,,,,,
B46D0731,001,28-08-1986,264,264,1517,,,,,,
B46D0731,001,15-09-1986,259,259,1522,,,,,,
B46D0731,001,29-09-1986,255,255,1526,,,,,,
B46D0731,001,14-10-1986,263,263,1518,,,,,,
B46D0731,001,28-10-1986,260,260,1521,,,,,,
B46D0731,001,14-11-1986,246,246,1535,,,,,,
B46D0731,001,28-11-1986,243,243,1538,,,,,,
B46D0731,001,15-12-1986,242,242,1539,,,,,,
B46D0731,001,29-12-1986,234,234,1547,,,,,,
B46D0731,001,01-01-1987,189,189,1592,,,,,,
B46D0731,001,13-01-1987,189,189,1592,,,,,,
B46D0731,001,28-01-1987,208,208,1573,,,,,,
B46D0731,001,17-02-1987,212,212,1569,,,,,,
B46D0731,001,27-02-1987,208,208,1573,,,,,,
B46D0731,001,13-03-1987,202,202,1579,,,,,,
B46D0731,001,27-03-1987,181,181,1600,,,,,,
B46D0731,001,14-04-1987,193,193,1588,,,,,,
B46D0731,001,28-04-1987,209,209,1572,,,,,,
B46D0731,001,14-05-1987,216,216,1565,,,,,,
B46D0731,001,27-05-1987,220,220,1561,,,,,,
B46D0731,001,15-06-1987,216,216,1565,,,,,,
B46D0731,001,29-06-1987,214,214,1567,,,,,,
B46D0731,001,13-07-1987,229,229,1552,,,,,,
B46D0731,001,23-07-1987,236,236,1545,,,,,,
B46D0731,001,14-08-1987,240,240,1541,,,,,,
B46D0731,001,28-08-1987,245,245,1536,,,,,,
B46D0731,001,14-09-1987,249,249,1532,,,,,,
