Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,14-01-2021,,,,,,,,
Gegevens beschikbaar:,06-06-2012,tot:,18-09-2019,,,,,,,,
Datum: ,14-01-2021,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B28H1804,001,,256559,485068,1944,01-12-2011,01-12-2011,06-06-2012,,,,
B28H1804,001,,256559,485068,1944,01-12-2011,06-06-2012,18-09-2019,2001,57,1846,1796


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B28H1804,001,05-09-2012,103,46,1898,,droog,,,,
B28H1804,001,06-09-2012,103,46,1898,,droog,,,,
B28H1804,001,07-09-2012,103,46,1898,,droog,,,,
B28H1804,001,08-09-2012,103,46,1898,,droog,,,,
B28H1804,001,09-09-2012,103,46,1898,,droog,,,,
B28H1804,001,10-09-2012,103,46,1898,,droog,,,,
B28H1804,001,11-09-2012,103,46,1898,,droog,,,,
B28H1804,001,12-09-2012,103,46,1898,,droog,,,,
B28H1804,001,13-09-2012,103,46,1898,,droog,,,,
B28H1804,001,14-09-2012,103,46,1898,,droog,,,,
B28H1804,001,15-09-2012,103,46,1898,,droog,,,,
B28H1804,001,16-09-2012,103,46,1898,,droog,,,,
B28H1804,001,17-09-2012,103,46,1898,,droog,,,,
B28H1804,001,18-09-2012,103,46,1898,,droog,,,,
B28H1804,001,19-09-2012,103,46,1898,,droog,,,,
B28H1804,001,20-09-2012,103,46,1898,,droog,,,,
B28H1804,001,21-09-2012,103,46,1898,,droog,,,,
B28H1804,001,22-09-2012,103,46,1898,,droog,,,,
B28H1804,001,23-09-2012,103,46,1898,,droog,,,,
B28H1804,001,24-09-2012,85,28,1916,,,,,,
B28H1804,001,25-09-2012,82,25,1919,,,,,,
B28H1804,001,26-09-2012,83,26,1918,,,,,,
B28H1804,001,27-09-2012,83,26,1918,,,,,,
B28H1804,001,28-09-2012,75,18,1926,,,,,,
B28H1804,001,29-09-2012,80,23,1921,,,,,,
B28H1804,001,30-09-2012,86,29,1915,,,,,,
B28H1804,001,01-10-2012,91,34,1910,,,,,,
B28H1804,001,02-10-2012,94,37,1907,,,,,,
B28H1804,001,03-10-2012,95,38,1906,,,,,,
B28H1804,001,04-10-2012,66,9,1935,,,,,,
B28H1804,001,05-10-2012,61,4,1940,,,,,,
B28H1804,001,06-10-2012,55,-2,1946,,,,,,
B28H1804,001,07-10-2012,58,1,1943,,,,,,
B28H1804,001,08-10-2012,59,2,1942,,,,,,
B28H1804,001,09-10-2012,60,3,1941,,,,,,
B28H1804,001,10-10-2012,62,5,1939,,,,,,
B28H1804,001,11-10-2012,62,5,1939,,,,,,
B28H1804,001,12-10-2012,60,3,1941,,,,,,
B28H1804,001,13-10-2012,58,1,1943,,,,,,
B28H1804,001,14-10-2012,56,-1,1945,,,,,,
B28H1804,001,15-10-2012,57,0,1944,,,,,,
B28H1804,001,16-10-2012,58,1,1943,,,,,,
B28H1804,001,17-10-2012,58,1,1943,,,,,,
B28H1804,001,18-10-2012,59,2,1942,,,,,,
B28H1804,001,19-10-2012,61,4,1940,,,,,,
B28H1804,001,20-10-2012,62,5,1939,,,,,,
B28H1804,001,21-10-2012,61,4,1940,,,,,,
B28H1804,001,22-10-2012,61,4,1940,,,,,,
B28H1804,001,23-10-2012,61,4,1940,,,,,,
B28H1804,001,24-10-2012,60,3,1941,,,,,,
B28H1804,001,25-10-2012,60,3,1941,,,,,,
B28H1804,001,26-10-2012,61,4,1940,,,,,,
B28H1804,001,27-10-2012,61,4,1940,,,,,,
B28H1804,001,28-10-2012,61,4,1940,,,,,,
B28H1804,001,29-10-2012,61,4,1940,,,,,,
B28H1804,001,30-10-2012,57,0,1944,,,,,,
B28H1804,001,31-10-2012,58,1,1943,,,,,,
B28H1804,001,01-11-2012,58,1,1943,,,,,,
B28H1804,001,02-11-2012,57,0,1944,,,,,,
B28H1804,001,03-11-2012,58,1,1943,,,,,,
B28H1804,001,04-11-2012,57,0,1944,,,,,,
B28H1804,001,05-11-2012,57,0,1944,,,,,,
B28H1804,001,06-11-2012,57,0,1944,,,,,,
B28H1804,001,07-11-2012,56,-1,1945,,,,,,
B28H1804,001,08-11-2012,56,-1,1945,,,,,,
B28H1804,001,09-11-2012,56,-1,1945,,,,,,
B28H1804,001,10-11-2012,56,-1,1945,,,,,,
B28H1804,001,11-11-2012,57,0,1944,,,,,,
B28H1804,001,12-11-2012,57,0,1944,,,,,,
B28H1804,001,13-11-2012,57,0,1944,,,,,,
B28H1804,001,14-11-2012,57,0,1944,,,,,,
B28H1804,001,15-11-2012,57,0,1944,,,,,,
B28H1804,001,16-11-2012,57,0,1944,,,,,,
B28H1804,001,29-08-2013,132,75,1869,,,,,,
B28H1804,001,30-08-2013,134,77,1867,,,,,,
B28H1804,001,31-08-2013,130,73,1871,,,,,,
B28H1804,001,01-09-2013,133,76,1868,,,,,,
B28H1804,001,02-09-2013,133,76,1868,,,,,,
B28H1804,001,03-09-2013,129,72,1872,,,,,,
B28H1804,001,04-09-2013,128,71,1873,,,,,,
B28H1804,001,05-09-2013,136,79,1865,,,,,,
B28H1804,001,06-09-2013,145,88,1856,,,,,,
B28H1804,001,07-09-2013,130,73,1871,,,,,,
B28H1804,001,08-09-2013,71,14,1930,,,,,,
B28H1804,001,09-09-2013,77,20,1924,,,,,,
B28H1804,001,10-09-2013,54,-3,1947,,,,,,
B28H1804,001,11-09-2013,54,-3,1947,,,,,,
B28H1804,001,12-09-2013,57,0,1944,,,,,,
B28H1804,001,13-09-2013,59,2,1942,,,,,,
B28H1804,001,14-09-2013,58,1,1943,,,,,,
B28H1804,001,15-09-2013,60,3,1941,,,,,,
B28H1804,001,16-09-2013,58,1,1943,,,,,,
B28H1804,001,17-09-2013,60,3,1941,,,,,,
B28H1804,001,18-09-2013,59,2,1942,,,,,,
B28H1804,001,19-09-2013,60,3,1941,,,,,,
B28H1804,001,20-09-2013,61,4,1940,,,,,,
B28H1804,001,21-09-2013,62,5,1939,,,,,,
B28H1804,001,22-09-2013,63,6,1938,,,,,,
B28H1804,001,23-09-2013,64,7,1937,,,,,,
B28H1804,001,24-09-2013,64,7,1937,,,,,,
B28H1804,001,25-09-2013,64,7,1937,,,,,,
B28H1804,001,26-09-2013,65,8,1936,,,,,,
B28H1804,001,27-09-2013,66,9,1935,,,,,,
B28H1804,001,28-09-2013,68,11,1933,,,,,,
B28H1804,001,29-09-2013,70,13,1931,,,,,,
B28H1804,001,30-09-2013,73,16,1928,,,,,,
B28H1804,001,01-10-2013,74,17,1927,,,,,,
B28H1804,001,02-10-2013,77,20,1924,,,,,,
B28H1804,001,03-10-2013,80,23,1921,,,,,,
B28H1804,001,04-10-2013,77,20,1924,,,,,,
B28H1804,001,05-10-2013,76,19,1925,,,,,,
B28H1804,001,06-10-2013,76,19,1925,,,,,,
B28H1804,001,07-10-2013,77,20,1924,,,,,,
B28H1804,001,08-10-2013,79,22,1922,,,,,,
B28H1804,001,09-10-2013,78,21,1923,,,,,,
B28H1804,001,10-10-2013,76,19,1925,,,,,,
B28H1804,001,11-10-2013,68,11,1933,,,,,,
