date,B28H1804_2
2012-11-17 20:00:00,19.478
2012-11-18 20:00:00,19.498
2012-11-19 20:00:00,19.498
2012-11-20 20:00:00,19.495
2012-11-21 20:00:00,19.495
2012-11-22 20:00:00,19.487
2012-11-23 20:00:00,19.507
2012-11-24 20:00:00,19.499
2012-11-25 20:00:00,19.517
2012-11-26 20:00:00,19.527
2012-11-27 20:00:00,19.52
2012-11-28 20:00:00,19.516
2012-11-29 20:00:00,19.511
2012-11-30 20:00:00,19.503
2012-12-01 20:00:00,19.503
2012-12-02 20:00:00,19.529
2012-12-03 20:00:00,19.537
2012-12-04 20:00:00,19.569
2012-12-05 20:00:00,19.562
2012-12-06 20:00:00,19.545
2012-12-07 20:00:00,19.542
2012-12-08 20:00:00,19.52
2012-12-09 20:00:00,19.591
2012-12-10 20:00:00,19.603
2012-12-11 20:00:00,19.588
2012-12-12 20:00:00,19.602
2012-12-13 20:00:00,19.587
2012-12-14 20:00:00,19.594
2012-12-15 20:00:00,19.613
2012-12-16 20:00:00,19.615
2012-12-17 20:00:00,19.623
2012-12-18 20:00:00,19.636
2012-12-19 20:00:00,19.63
2012-12-20 20:00:00,19.606
2012-12-21 20:00:00,19.623
2012-12-22 20:00:00,19.625
2012-12-23 20:00:00,19.674
2012-12-24 20:00:00,19.66
2012-12-25 20:00:00,19.685
2012-12-26 20:00:00,19.671
2012-12-27 20:00:00,19.684
2012-12-28 20:00:00,19.652
2012-12-29 20:00:00,19.649
2012-12-30 20:00:00,19.659
2012-12-31 20:00:00,19.65
2013-01-01 20:00:00,19.703
2013-01-02 20:00:00,19.681
2013-01-03 20:00:00,19.658
2013-01-04 20:00:00,19.645
2013-01-05 20:00:00,19.637
2013-01-06 20:00:00,19.635
2013-01-07 20:00:00,19.633
2013-01-08 20:00:00,19.628
2013-01-09 20:00:00,19.671
2013-01-10 20:00:00,19.696
2013-01-11 20:00:00,19.662
2013-01-12 20:00:00,19.651
2013-01-13 20:00:00,19.635
2013-01-14 20:00:00,19.632
2013-01-15 20:00:00,19.623
2013-01-16 20:00:00,19.618
2013-01-17 20:00:00,19.614
2013-01-18 20:00:00,19.624
2013-01-19 20:00:00,19.617
2013-01-20 20:00:00,19.61
2013-01-21 20:00:00,19.608
2013-01-22 20:00:00,19.605
2013-01-23 20:00:00,19.604
2013-01-24 20:00:00,19.595
2013-01-25 20:00:00,19.598
2013-01-26 20:00:00,19.597
2013-01-27 20:00:00,19.646
2013-01-28 20:00:00,19.653
2013-01-29 20:00:00,19.669
2013-01-30 20:00:00,19.709
2013-01-31 20:00:00,19.704
2013-02-01 20:00:00,19.705
2013-02-02 20:00:00,19.679
2013-02-03 20:00:00,19.662
2013-02-04 20:00:00,19.689
2013-02-05 20:00:00,19.701
2013-02-06 20:00:00,19.679
2013-02-07 20:00:00,19.668
2013-02-08 20:00:00,19.658
2013-02-09 20:00:00,19.651
2013-02-10 20:00:00,19.653
2013-02-11 20:00:00,19.637
2013-02-12 20:00:00,19.623
2013-02-13 20:00:00,19.619
2013-02-14 20:00:00,19.617
2013-02-15 20:00:00,19.624
2013-02-16 20:00:00,19.627
2013-02-17 20:00:00,19.625
2013-02-18 20:00:00,19.619
2013-02-19 20:00:00,19.617
2013-02-20 20:00:00,19.608
2013-02-21 20:00:00,19.603
2013-02-22 20:00:00,19.598
2013-02-23 20:00:00,19.589
2013-02-24 20:00:00,19.586
2013-02-25 20:00:00,19.605
2013-02-26 20:00:00,19.61
2013-02-27 20:00:00,19.61
2013-02-28 20:00:00,19.606
2013-03-01 20:00:00,19.602
2013-03-02 20:00:00,19.597
2013-03-03 20:00:00,19.592
2013-03-04 20:00:00,19.592
2013-03-05 20:00:00,19.59
2013-03-06 20:00:00,19.584
2013-03-07 20:00:00,19.581
2013-03-08 20:00:00,19.576999999999998
2013-03-09 20:00:00,19.629
2013-03-10 20:00:00,19.642
2013-03-11 20:00:00,19.629
2013-03-12 20:00:00,19.62
2013-03-13 20:00:00,19.609
2013-03-14 20:00:00,19.607
2013-03-15 20:00:00,19.607
2013-03-16 20:00:00,19.614
2013-03-17 20:00:00,19.615
2013-03-18 20:00:00,19.618
2013-03-19 20:00:00,19.602
2013-03-20 20:00:00,19.591
2013-03-21 20:00:00,19.583
2013-03-22 20:00:00,19.581
2013-03-23 20:00:00,19.571
2013-03-24 20:00:00,19.563
2013-03-25 20:00:00,19.559
2013-03-26 20:00:00,19.558
2013-03-27 20:00:00,19.558
2013-03-28 20:00:00,19.556
2013-03-29 20:00:00,19.559
2013-03-30 20:00:00,19.555
2013-03-31 20:00:00,19.551
2013-04-01 20:00:00,19.547
2013-04-02 20:00:00,19.539
2013-04-03 20:00:00,19.537
2013-04-04 20:00:00,19.535
2013-04-05 20:00:00,19.531
2013-04-06 20:00:00,19.521
2013-04-07 20:00:00,19.522
2013-04-08 20:00:00,19.525
2013-04-09 20:00:00,19.528
2013-04-10 20:00:00,19.529
2013-04-11 20:00:00,19.552
2013-04-12 20:00:00,19.563
2013-04-13 20:00:00,19.546
2013-04-14 20:00:00,19.54
2013-04-15 20:00:00,19.538
2013-04-16 20:00:00,19.535
2013-04-17 20:00:00,19.534
2013-04-18 20:00:00,19.525
2013-04-19 20:00:00,19.542
2013-04-20 20:00:00,19.514
2013-04-21 20:00:00,19.516
2013-04-22 20:00:00,19.513
2013-04-23 20:00:00,19.506
2013-04-24 20:00:00,19.5
2013-04-25 20:00:00,19.502
2013-04-26 20:00:00,19.553
2013-04-27 20:00:00,19.532
2013-04-28 20:00:00,19.523
2013-04-29 20:00:00,19.52
2013-04-30 20:00:00,19.508
2013-05-01 20:00:00,19.503
2013-05-02 20:00:00,19.495
2013-05-03 20:00:00,19.485
2013-05-04 20:00:00,19.473
2013-05-05 20:00:00,19.463
2013-05-06 20:00:00,19.457
2013-05-07 20:00:00,19.469
2013-05-08 20:00:00,19.465
2013-05-09 20:00:00,19.453
2013-05-10 20:00:00,19.449
2013-05-11 20:00:00,19.467
2013-05-12 20:00:00,19.461
2013-05-13 20:00:00,19.469
