Date,B49F0448_2
1972-01-14 12:00:00,5.33
1972-01-28 12:00:00,5.3
1972-02-11 12:00:00,5.41
1972-02-28 12:00:00,5.54
1972-03-14 12:00:00,5.56
1972-03-28 12:00:00,5.56
1972-04-14 12:00:00,5.59
1972-04-28 12:00:00,5.66
1972-05-15 12:00:00,5.76
1972-05-29 12:00:00,5.7
1972-06-14 12:00:00,5.7
1972-06-28 12:00:00,5.66
1972-07-17 12:00:00,5.59
1972-07-28 12:00:00,5.48
1972-08-14 12:00:00,5.51
1972-08-28 12:00:00,5.48
1972-09-14 12:00:00,5.42
1972-09-28 12:00:00,5.39
1972-10-13 12:00:00,5.36
1972-11-11 12:00:00,5.36
1972-11-28 12:00:00,5.44
1972-12-14 12:00:00,5.46
1972-12-28 12:00:00,5.46
1973-01-15 12:00:00,5.42
1973-01-30 12:00:00,5.36
1973-02-14 12:00:00,5.4
1973-02-28 12:00:00,5.4
1973-03-14 12:00:00,5.52
1973-03-28 12:00:00,5.54
1973-04-13 12:00:00,5.51
1973-05-14 12:00:00,5.7
1973-05-28 12:00:00,5.7
1973-06-14 12:00:00,5.65
1973-07-13 12:00:00,5.42
1973-07-27 12:00:00,5.4
1973-08-14 12:00:00,5.25
1973-08-28 12:00:00,5.12
1973-09-14 12:00:00,5.15
1973-09-28 12:00:00,5.1
1973-10-15 12:00:00,5.18
1973-10-30 12:00:00,5.26
1973-11-14 12:00:00,5.3
1973-11-28 12:00:00,5.4
1973-12-14 12:00:00,5.5
1973-12-28 12:00:00,5.63
1974-01-14 12:00:00,5.76
1974-01-28 12:00:00,5.84
1974-02-14 12:00:00,6.0
1974-02-28 12:00:00,6.01
1974-03-14 12:00:00,5.95
1974-03-28 12:00:00,5.92
1974-04-16 12:00:00,5.85
1974-04-29 12:00:00,5.81
1974-05-14 12:00:00,5.8
1974-05-28 12:00:00,5.7
1974-06-14 12:00:00,5.63
1974-06-28 12:00:00,5.49
1974-07-15 12:00:00,5.53
1974-07-29 12:00:00,5.45
1974-08-14 12:00:00,5.49
1974-08-28 12:00:00,5.37
1974-09-13 12:00:00,5.46
1974-09-27 12:00:00,5.51
1974-10-15 12:00:00,5.59
1974-10-30 12:00:00,5.77
1974-11-14 12:00:00,6.0
1974-12-13 12:00:00,6.35
1975-01-14 12:00:00,6.83
1975-01-28 12:00:00,6.48
1975-02-14 12:00:00,6.53
1975-02-28 12:00:00,6.55
1975-03-14 12:00:00,6.55
1975-03-27 12:00:00,6.65
1975-04-14 12:00:00,6.93
1975-04-28 12:00:00,6.83
1975-05-14 12:00:00,6.68
1975-05-28 12:00:00,6.51
1975-06-13 12:00:00,6.31
1975-06-27 12:00:00,6.3
1975-07-14 12:00:00,6.25
1975-07-28 12:00:00,6.47
1975-08-14 12:00:00,5.94
1975-08-28 12:00:00,5.97
1975-09-15 12:00:00,5.9
1975-09-29 12:00:00,5.85
1975-10-14 12:00:00,5.78
1975-10-28 12:00:00,5.8
1975-11-14 12:00:00,5.81
1975-11-28 12:00:00,5.83
1975-12-15 12:00:00,5.83
1975-12-29 12:00:00,5.69
1976-01-14 12:00:00,5.74
1976-01-28 12:00:00,5.79
1976-02-13 12:00:00,5.77
1976-02-27 12:00:00,6.05
1976-03-29 12:00:00,5.8
1976-04-14 12:00:00,5.76
1976-04-28 12:00:00,5.6
1976-05-14 12:00:00,5.54
1976-05-28 12:00:00,5.47
1976-06-14 12:00:00,5.34
1976-06-28 12:00:00,5.2
1976-07-14 12:00:00,5.05
1976-07-28 12:00:00,5.2
1976-08-13 12:00:00,5.0
1976-08-27 12:00:00,4.87
1976-09-14 12:00:00,5.0
1976-09-28 12:00:00,5.12
1976-10-14 12:00:00,5.15
1976-10-28 12:00:00,5.03
1976-11-15 12:00:00,5.15
1976-11-29 12:00:00,5.2
1976-12-14 12:00:00,5.26
1976-12-28 12:00:00,5.35
1977-01-14 12:00:00,5.35
1977-01-28 12:00:00,5.5
1977-02-14 12:00:00,5.62
1977-02-28 12:00:00,5.7
1977-03-14 12:00:00,5.75
1977-03-28 12:00:00,5.75
1977-04-14 12:00:00,5.75
1977-04-28 12:00:00,5.71
1977-05-13 12:00:00,5.76
1977-05-27 12:00:00,5.8
1977-06-14 12:00:00,5.62
1977-06-28 12:00:00,5.58
1977-07-15 12:00:00,5.38
1977-07-28 12:00:00,5.45
1977-08-15 12:00:00,5.33
1977-08-29 12:00:00,5.55
1977-09-14 12:00:00,5.58
1977-09-28 12:00:00,5.53
1977-10-14 12:00:00,5.5
1977-10-28 12:00:00,5.49
1977-11-14 12:00:00,5.5
1977-11-28 12:00:00,5.69
1977-12-14 12:00:00,5.82
1977-12-28 12:00:00,5.85
1978-01-16 12:00:00,5.89
1978-01-30 12:00:00,5.9
1978-02-14 12:00:00,5.93
1978-02-28 12:00:00,5.87
1978-03-14 12:00:00,5.82
1978-03-28 12:00:00,5.88
1978-04-14 12:00:00,5.88
1978-04-28 12:00:00,5.82
