,0
1998-11-29,11.75
1998-12-14,11.83
1998-12-29,11.81
1999-01-14,11.89
1999-01-29,11.87
1999-02-15,11.98
1999-02-28,11.99
1999-03-15,11.76
1999-03-27,12.90
1999-04-15,11.74
1999-04-28,11.54
1999-05-14,11.55
1999-05-28,11.10
1999-06-14,10.99
1999-06-28,10.80
1999-07-14,10.77
1999-07-28,10.42
1999-09-14,10.31
1999-09-29,10.32
1999-10-14,10.36
1999-10-27,10.28
1999-11-28,10.43
1999-12-14,10.67
1999-12-28,10.97
2000-01-14,11.00
2000-01-28,11.04
2000-02-14,11.17
2000-02-28,11.33
2000-03-14,11.42
2000-03-28,11.34
2000-04-14,11.24
2000-04-28,11.17
2000-05-14,11.00
2000-05-28,11.00
2000-06-14,10.87
2000-07-14,10.84
2000-07-28,10.92
2000-08-14,10.66
2000-08-28,10.58
2000-09-14,10.60
2000-09-28,10.64
2000-10-14,10.75
2000-10-28,10.87
2000-11-14,10.98
2000-11-28,11.14
2000-12-14,11.24
2000-12-28,11.11
2001-01-28,11.48
2001-02-14,11.63
2001-02-28,11.71
2001-03-14,11.73
2001-04-14,11.76
2001-04-28,11.90
2001-05-14,11.59
2001-05-28,11.36
2001-06-14,11.16
2001-07-14,10.67
2001-07-28,10.57
2001-08-14,10.59
2001-08-28,10.38
2001-09-14,11.17
2001-09-28,10.97
2001-10-14,11.03
2001-10-28,11.06
2001-11-14,11.15
2001-11-28,11.29
2001-12-14,11.37
2002-01-14,11.50
2002-01-28,11.76
2002-03-14,11.94
2002-03-28,11.82
2002-04-14,11.58
2002-04-28,11.67
2002-05-14,11.56
2002-06-14,11.26
2002-07-14,11.20
2002-07-28,11.08
2002-08-28,11.34
2002-11-15,11.72
2003-01-15,12.14
2003-01-27,12.09
2003-02-14,12.03
2003-02-28,11.90
2003-03-14,12.07
2003-03-28,11.87
2003-04-14,11.71
2003-04-28,11.60
2003-05-15,11.44
2003-05-28,11.56
2003-06-16,11.24
2003-07-15,10.76
2003-08-29,10.49
2003-09-15,10.59
2004-01-30,11.42
2004-02-13,11.58
2004-02-27,11.54
2004-03-26,11.41
2004-04-14,11.42
2004-04-28,11.31
2004-05-14,11.21
2004-05-28,11.01
2004-06-14,11.00
2004-06-28,10.71
2004-08-14,10.78
2004-08-28,10.79
2004-09-14,10.59
2004-09-28,10.69
2004-10-14,10.71
2004-10-28,10.71
2004-11-14,10.76
2004-11-28,11.15
2004-12-14,11.20
2004-12-28,11.30
2005-01-14,11.30
2005-01-28,11.46
2005-02-14,11.67
2005-02-28,11.56
2005-03-14,11.60
2005-03-28,11.53
2005-04-14,11.46
2005-04-28,11.50
2005-05-14,11.50
2005-05-28,11.30
2005-07-14,10.85
2005-07-28,10.64
2005-08-14,10.62
2005-08-28,10.68
2005-09-14,10.69
2005-09-28,10.71
2005-10-14,10.61
2005-10-28,10.74
2005-11-14,10.77
2005-11-28,11.00
2005-12-14,11.04
2005-12-28,11.09
2006-01-14,11.13
2006-01-28,11.06
2006-02-14,11.17
2006-02-28,11.31
2006-03-14,11.52
2006-03-28,11.47
2006-04-14,11.48
2006-04-28,11.44
2006-05-14,11.20
2006-05-28,11.36
2006-06-14,11.12
2006-06-28,10.98
2006-07-14,10.60
2006-07-28,10.19
2006-08-14,10.64
2006-08-28,10.89
2006-09-14,10.91
2006-09-28,10.82
2006-10-14,10.95
2006-10-28,10.90
2006-11-14,11.05
2006-11-28,11.23
2006-12-14,11.40
2006-12-28,11.42
2007-01-14,11.68
2007-01-28,11.73
2007-03-14,12.04
2007-03-28,11.89
2007-04-14,11.69
2007-04-28,11.41
2007-05-14,11.40
2007-05-28,11.40
2007-06-14,11.29
2007-06-28,11.27
2007-07-14,11.23
2007-07-28,11.10
2007-08-14,11.35
2007-08-28,11.33
2007-09-14,11.18
2007-09-28,11.21
2007-10-14,11.23
2007-10-28,11.14
2007-11-14,11.52
2007-11-28,11.49
2007-12-14,11.71
2007-12-28,11.64
2008-01-14,11.71
2008-01-28,11.75
2008-02-14,11.78
2008-02-28,11.70
2008-03-14,11.71
2008-03-28,11.86
2008-04-14,11.89
2008-04-28,11.84
2008-05-28,11.38
2008-06-14,11.38
2008-06-28,11.25
2008-07-14,11.20
2008-07-28,11.08
2008-08-14,11.05
2008-08-28,10.97
2008-09-14,10.88
2008-09-28,10.81
2008-10-14,10.98
2008-10-28,11.04
2008-11-14,11.11
2008-11-28,11.25
2008-12-14,11.31
2008-12-28,11.33
2009-01-14,11.36
2009-01-28,11.44
2009-02-14,11.60
2009-02-28,11.62
2009-03-14,11.69
2009-03-28,11.74
2009-04-14,11.59
2009-04-28,0.00
2009-05-14,11.26
2009-05-28,11.01
2009-06-14,11.06
2009-06-28,10.72
2009-07-14,10.63
2009-07-28,10.73
2009-08-14,10.50
2009-08-28,10.30
2009-09-14,10.34
2009-09-28,10.33
2009-10-14,10.82
2009-10-28,10.67
2009-11-14,11.02
2009-11-28,11.23
2009-12-14,11.41
2009-12-28,11.49
2010-01-14,11.55
2010-01-28,11.62
2010-02-14,11.70
2010-02-28,11.84
2010-03-14,11.78
2010-03-28,0.00
2010-04-14,11.74
2010-04-28,11.55
2010-05-14,11.58
2010-05-28,11.42
2010-06-14,11.17
2010-06-28,10.80
2010-07-14,10.61
2010-07-28,10.49
2010-08-14,10.44
2010-08-28,10.73
2010-09-14,10.94
2010-09-28,11.05
2010-11-14,11.53
2010-11-28,11.57
2011-01-14,11.96
2011-01-28,11.91
2011-02-14,12.00
2011-02-28,12.03
2011-03-14,11.84
2011-03-28,11.76
2011-04-14,11.67
2011-04-28,11.44
2011-05-14,11.17
2011-05-28,10.88
2011-06-14,10.87
2011-06-28,10.89
2011-07-14,10.70
2011-07-28,10.95
2011-08-14,10.86
2011-08-28,11.08
2011-09-14,11.08
2011-09-28,0.00
2011-10-14,10.99
2011-10-28,11.00
2011-11-14,10.98
2011-11-28,10.99
2011-12-14,11.16
2011-12-28,11.47
2012-01-14,11.68
2012-01-28,11.77
2012-02-28,11.74
2012-03-14,11.74
2012-03-28,11.51
2012-04-14,11.64
2012-04-28,11.58
2012-05-14,11.56
2012-05-28,11.25
2012-06-14,11.45
2012-06-28,11.41
2012-07-14,11.48
2012-07-28,11.17
2012-08-14,11.01
2012-08-28,11.10
2012-09-14,11.02
2012-09-28,11.23
2012-10-14,11.45
2012-10-28,11.29
2012-11-14,11.51
2012-11-28,11.61
2012-12-14,11.81
2012-12-28,12.15
2013-01-14,12.21
2013-02-14,12.31
2013-02-28,12.31
2013-03-14,12.31
2013-03-28,0.00
2013-04-14,12.17
2013-04-28,12.10
2013-05-14,12.05
2013-05-28,12.13
2013-06-14,11.82
2013-06-28,11.78
2013-07-14,11.51
2013-07-28,11.48
2013-08-14,11.24
2013-08-28,11.19
2013-09-14,11.29
2013-09-28,11.39
2013-10-14,11.43
2013-10-28,0.00
2013-11-14,11.84
2013-11-28,11.87
2013-12-14,11.91
2013-12-28,12.13
2014-01-14,12.18
2014-01-28,12.23
2014-02-14,12.23
2014-02-28,12.25
2014-03-14,12.16
2014-03-28,12.11
2014-04-14,11.97
2014-04-28,11.87
2014-05-14,11.89
2014-05-28,11.80
2014-06-14,11.72
2014-06-28,11.36
2014-07-14,11.86
2014-07-28,11.77
2014-08-14,11.84
2014-08-28,0.00
2014-09-14,11.82
2014-09-28,11.76
2014-10-14,11.92
2014-10-28,12.02
2014-11-14,11.85
2014-11-28,11.90
2014-12-14,11.96
2014-12-28,12.11
2015-01-14,12.43
2015-01-28,12.45
2015-02-14,12.41
2015-02-28,12.45
2015-03-14,12.38
2015-03-28,12.33
2015-04-14,12.31
2015-04-28,12.23
2015-05-14,0.00
2015-05-28,11.82
2015-06-14,11.75
2015-06-28,11.57
2015-07-14,11.15
2015-07-28,11.19
2015-08-14,10.97
2015-08-28,11.29
2015-09-14,11.35
2015-09-28,11.37
2015-10-15,11.31
2015-10-28,11.43
2015-11-14,11.43
2015-11-28,11.53
2015-12-13,11.83
2015-12-27,11.95
2016-01-14,0.00
2016-01-28,12.14
2016-02-14,12.50
2016-02-28,12.52
2016-03-13,12.49
2016-03-27,12.41
2016-04-14,12.34
2016-04-27,12.31
2016-05-14,12.08
2016-05-28,12.04
2016-06-14,12.41
2016-06-28,12.64
2016-07-14,12.24
2016-07-28,11.91
2016-08-14,11.89
2016-08-27,11.58
2016-09-15,11.37
2016-09-28,11.40
2016-10-14,11.41
2016-10-28,11.45
2016-11-13,11.53
2016-11-27,11.71
2016-12-14,11.76
2016-12-28,11.78
2017-01-14,11.95
2017-01-27,11.04
2017-02-14,11.98
2017-02-28,12.12
2017-03-13,12.23
2017-03-28,12.25
2017-04-14,12.08
2017-04-28,0.00
2017-05-13,11.89
2017-05-27,11.62
2017-06-14,11.27
2017-06-28,11.03
2017-07-13,11.06
2017-07-28,11.09
2017-08-13,11.08
2017-08-29,10.91
2017-09-14,11.06
2017-09-28,11.18
2017-10-14,11.31
2017-10-28,11.36
2017-11-14,0.00
2017-11-28,11.58
2017-12-14,11.91
2017-12-28,11.99
2018-01-14,
2018-01-28,
2018-02-14,
2018-02-28,
2018-03-14,
2018-03-28,
2018-04-14,
2018-04-28,
2018-05-15,
2018-05-29,
2018-06-14,
2018-06-27,
2018-07-14,
2018-07-28,
2018-08-14,
2018-08-28,
2018-09-14,
2018-09-29,
2018-10-14,
2018-10-28,
2018-11-14,
2018-11-28,
2018-12-14,
2018-12-28,
2019-01-14,
2019-01-29,
2019-02-13,
2019-02-28,
2019-03-15,
2019-03-28,
2019-04-13,
2019-04-27,
2019-05-14,
2019-05-28,
2019-06-13,
2019-06-27,
2019-07-14,
2019-07-28,
2019-08-14,
2019-08-28,
2019-09-14,
2019-09-28,
2019-10-15,
2019-10-29,
2019-11-14,
2019-11-28,
2019-12-14,
2019-12-28,
2020-01-14,
2020-01-28,
2020-02-14,
2020-02-28,
2020-03-14,
2020-03-28,
2020-04-14,
2020-04-28,
2020-05-14,
2020-05-28,
2020-06-14,
2020-06-28,
2020-07-14,
2020-07-28,
2020-08-15,
2020-08-28,
2020-09-15,
2020-09-28,
2020-10-14,
2020-10-28,
2020-11-13,
2020-11-28,
