DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)

THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE

STN      = stationsnummer/stationnumber
YYYYMMDD = datum/date (YYYY=jaar/year MM=maand/month DD=dag/day)
RD       = 24-uur som van de neerslag in tiende millimeters van 08.00 voorafgaande dag- 08.00 UTC huidige dag/
           daily precipitation amount in 0.1 mm over the period 08.00 preceding day - 08.00 UTC present day
SX       = codecijfer sneeuwdek om 08.00 uur UTC/code for the snow cover at 08.00 UTC:

           codecijfer/code    sneeuwdikte/snow cover
           1                                    1 cm
           ...                                   ...
           996                                996 cm

           997 gebroken sneeuwdek/broken snow cover < 1 cm
           998 gebroken sneeuwdek/broken snow cover >=1 cm
           999 sneeuwhopen/snow dunes

5 spaties betekent een ontbrekende waarde/5 spaces represents a missing value

STN,YYYYMMDD,   RD,   SX,
905,19200129,   95,     ,
905,19200130,   14,     ,
905,19200131,   23,     ,
905,19200201,   10,     ,
905,19200202,    0,     ,
905,19200203,    0,     ,
905,19200204,    0,     ,
905,19200205,   12,     ,
905,19200206,    0,     ,
905,19200207,    0,     ,
905,19200208,    0,     ,
905,19200209,    1,     ,
905,19200210,    0,     ,
905,19200211,  110,     ,
905,19200212,   11,     ,
905,19200213,    0,     ,
905,19200214,   23,     ,
905,19200215,    3,     ,
905,19200216,    0,     ,
905,19200217,    0,     ,
905,19200218,    0,     ,
905,19200219,    0,     ,
905,19200220,    0,     ,
905,19200221,    0,     ,
905,19200222,    0,     ,
905,19200223,    0,     ,
905,19200224,    0,     ,
905,19200225,    0,     ,
905,19200226,    0,     ,
905,19200227,   24,     ,
905,19200228,   55,     ,
905,19200229,    0,     ,
905,19200301,    0,     ,
905,19200302,    0,     ,
905,19200303,    1,     ,
905,19200304,    0,     ,
905,19200305,    0,     ,
905,19200306,    2,     ,
905,19200307,   43,     ,
905,19200308,    2,     ,
905,19200309,    3,     ,
905,19200310,    0,     ,
905,19200311,    0,     ,
905,19200312,   21,     ,
905,19200313,   10,     ,
905,19200314,    1,     ,
905,19200315,   34,     ,
905,19200316,    0,     ,
905,19200317,    0,     ,
905,19200318,    0,     ,
905,19200319,    5,     ,
905,19200320,    0,     ,
905,19200321,    0,     ,
905,19200322,    0,     ,
905,19200323,    0,     ,
905,19200324,    0,     ,
905,19200325,    0,     ,
905,19200326,    3,     ,
905,19200327,   31,     ,
905,19200328,    0,     ,
905,19200329,    0,     ,
905,19200330,    0,     ,
905,19200331,    0,     ,
905,19200401,   12,     ,
905,19200402,   24,     ,
905,19200403,   20,     ,
905,19200404,   44,     ,
905,19200405,   85,     ,
905,19200406,    0,     ,
905,19200407,   10,     ,
905,19200408,    0,     ,
905,19200409,   20,     ,
905,19200410,   26,     ,
905,19200411,   51,     ,
905,19200412,   45,     ,
905,19200413,   41,     ,
905,19200414,    0,     ,
905,19200415,    0,     ,
905,19200416,   28,     ,
905,19200417,   15,     ,
905,19200418,   12,     ,
905,19200419,    1,     ,
905,19200420,    5,     ,
905,19200421,    7,     ,
905,19200422,    0,     ,
905,19200423,    0,     ,
905,19200424,    0,     ,
905,19200425,    0,     ,
905,19200426,   13,     ,
905,19200427,   56,     ,
905,19200428,  107,     ,
905,19200429,   40,     ,
905,19200430,   21,     ,
905,19200501,   20,     ,
905,19200502,   22,     ,
905,19200503,    7,     ,
905,19200504,    0,     ,
905,19200505,   19,     ,
905,19200506,    0,     ,
905,19200507,   75,     ,
905,19200508,   14,     ,
905,19200509,   43,     ,
905,19200510,    7,     ,
905,19200511,    0,     ,
905,19200512,    0,     ,
905,19200513,   71,     ,
905,19200514,    0,     ,
905,19200515,    0,     ,
905,19200516,    0,     ,
905,19200517,    0,     ,
905,19200518,   25,     ,
905,19200519,   50,     ,
905,19200520,    0,     ,
905,19200521,   15,     ,
905,19200522,   14,     ,
905,19200523,    0,     ,
905,19200524,    4,     ,
905,19200525,    5,     ,
905,19200526,   11,     ,
905,19200527,    9,     ,
905,19200528,   54,     ,
905,19200529,    0,     ,
905,19200530,   35,     ,
905,19200531,   16,     ,
905,19200601,    7,     ,
905,19200602,    0,     ,
905,19200603,    0,     ,
905,19200604,    6,     ,
905,19200605,   20,     ,
905,19200606,   54,     ,
905,19200607,    4,     ,
905,19200608,    0,     ,
905,19200609,    0,     ,
905,19200610,    0,     ,
905,19200611,    0,     ,
905,19200612,    0,     ,
905,19200613,    0,     ,
905,19200614,    0,     ,
905,19200615,    0,     ,
905,19200616,    0,     ,
905,19200617,    0,     ,
905,19200618,    0,     ,
905,19200619,    0,     ,
905,19200620,    0,     ,
905,19200621,   11,     ,
905,19200622,   65,     ,
905,19200623,    0,     ,
905,19200624,    0,     ,
905,19200625,    0,     ,
905,19200626,   10,     ,
905,19200627,   70,     ,
905,19200628,   12,     ,
905,19200629,    3,     ,
905,19200630,  125,     ,
905,19200701,    3,     ,
905,19200702,    0,     ,
905,19200703,   50,     ,
905,19200704,   18,     ,
905,19200705,   74,     ,
905,19200706,   11,     ,
905,19200707,   22,     ,
905,19200708,   11,     ,
905,19200709,   25,     ,
905,19200710,    7,     ,
905,19200711,    1,     ,
905,19200712,    0,     ,
905,19200713,  117,     ,
905,19200714,    1,     ,
905,19200715,    0,     ,
905,19200716,   20,     ,
905,19200717,  175,     ,
905,19200718,    3,     ,
905,19200719,    5,     ,
905,19200720,    0,     ,
905,19200721,    0,     ,
905,19200722,   50,     ,
905,19200723,   37,     ,
905,19200724,    2,     ,
905,19200725,   34,     ,
905,19200726,    0,     ,
905,19200727,   17,     ,
905,19200728,   12,     ,
905,19200729,    4,     ,
905,19200730,    8,     ,
905,19200731,   64,     ,
905,19200801,   37,     ,
905,19200802,    0,     ,
905,19200803,    0,     ,
905,19200804,   37,     ,
905,19200805,    0,     ,
905,19200806,   85,     ,
905,19200807,   80,     ,
905,19200808,    0,     ,
905,19200809,    0,     ,
905,19200810,    0,     ,
905,19200811,    4,     ,
