date, sealevel
2018-03-13 21:00:00,0.11833333330000001
2018-03-13 22:00:00,-0.2083333333
2018-03-13 23:00:00,-0.4516666667
2018-03-14 00:00:00,-0.6016666667
2018-03-14 01:00:00,-0.5516666667
2018-03-14 02:00:00,-0.2016666667
2018-03-14 03:00:00,0.1566666667
2018-03-14 04:00:00,0.34500000000000003
2018-03-14 05:00:00,0.43166666670000003
2018-03-14 06:00:00,0.46
2018-03-14 07:00:00,0.435
2018-03-14 08:00:00,0.31
2018-03-14 09:00:00,0.0366666667
2018-03-14 10:00:00,-0.2933333333
2018-03-14 11:00:00,-0.5700000000000001
2018-03-14 12:00:00,-0.7616666667
2018-03-14 13:00:00,-0.7966666667000001
2018-03-14 14:00:00,-0.4816666667
2018-03-14 15:00:00,-0.0116666667
2018-03-14 16:00:00,0.2333333333
2018-03-14 17:00:00,0.37166666670000004
2018-03-14 18:00:00,0.4433333333
2018-03-14 19:00:00,0.465
2018-03-14 20:00:00,0.375
2018-03-14 21:00:00,0.0833333333
2018-03-14 22:00:00,-0.3083333333
2018-03-14 23:00:00,-0.65
2018-03-15 00:00:00,-0.9133333333
2018-03-15 01:00:00,-1.0566666667
2018-03-15 02:00:00,-0.8983333333
2018-03-15 03:00:00,-0.3816666667
2018-03-15 04:00:00,-0.0883333333
2018-03-15 05:00:00,0.0416666667
2018-03-15 06:00:00,0.1016666667
2018-03-15 07:00:00,0.095
2018-03-15 08:00:00,0.0316666667
2018-03-15 09:00:00,-0.1333333333
2018-03-15 10:00:00,-0.46
2018-03-15 11:00:00,-0.8150000000000001
2018-03-15 12:00:00,-1.075
2018-03-15 13:00:00,-1.1983333333
2018-03-15 14:00:00,-1.035
2018-03-15 15:00:00,-0.4733333333
2018-03-15 16:00:00,-0.0566666667
2018-03-15 17:00:00,0.1533333333
2018-03-15 18:00:00,0.295
2018-03-15 19:00:00,0.39
2018-03-15 20:00:00,0.425
2018-03-15 21:00:00,0.3033333333
2018-03-15 22:00:00,-0.033333333300000004
2018-03-15 23:00:00,-0.4566666667
2018-03-16 00:00:00,-0.8333333333
2018-03-16 01:00:00,-1.0916666667000001
2018-03-16 02:00:00,-1.165
2018-03-16 03:00:00,-0.8333333333
2018-03-16 04:00:00,-0.3083333333
2018-03-16 05:00:00,-0.09
2018-03-16 06:00:00,0.0266666667
2018-03-16 07:00:00,0.0783333333
2018-03-16 08:00:00,0.0816666667
2018-03-16 09:00:00,0.046666666700000005
2018-03-16 10:00:00,-0.1566666667
2018-03-16 11:00:00,-0.5433333333
2018-03-16 12:00:00,-0.9533333333
2018-03-16 13:00:00,-1.2316666667
2018-03-16 14:00:00,-1.3316666667
2018-03-16 15:00:00,-1.0683333333
2018-03-16 16:00:00,-0.47000000000000003
2018-03-16 17:00:00,-0.1516666667
2018-03-16 18:00:00,-0.0033333333
2018-03-16 19:00:00,0.125
2018-03-16 20:00:00,0.17
2018-03-16 21:00:00,0.12166666670000001
2018-03-16 22:00:00,-0.115
2018-03-16 23:00:00,-0.555
2018-03-17 00:00:00,-0.995
2018-03-17 01:00:00,-1.3333333333000001
2018-03-17 02:00:00,-1.5483333333
2018-03-17 03:00:00,-1.5766666667
2018-03-17 04:00:00,-1.07
2018-03-17 05:00:00,-0.5483333333
2018-03-17 06:00:00,-0.3633333333
2018-03-17 07:00:00,-0.2333333333
2018-03-17 08:00:00,-0.1933333333
2018-03-17 09:00:00,-0.24833333330000001
2018-03-17 10:00:00,-0.4383333333
2018-03-17 11:00:00,-0.77
2018-03-17 12:00:00,-1.1816666667
2018-03-17 13:00:00,-1.4966666667
2018-03-17 14:00:00,-1.6883333333000001
2018-03-17 15:00:00,-1.7433333333
2018-03-17 16:00:00,-1.365
2018-03-17 17:00:00,-0.6566666667000001
2018-03-17 18:00:00,-0.2933333333
2018-03-17 19:00:00,-0.095
2018-03-17 20:00:00,0.058333333300000005
2018-03-17 21:00:00,0.0483333333
2018-03-17 22:00:00,-0.11833333330000001
2018-03-17 23:00:00,-0.4716666667
2018-03-18 00:00:00,-0.8666666667
2018-03-18 01:00:00,-1.2183333333
2018-03-18 02:00:00,-1.4866666667000001
2018-03-18 03:00:00,-1.6766666667
2018-03-18 04:00:00,-1.6166666667
2018-03-18 05:00:00,-1.0
2018-03-18 06:00:00,-0.4933333333
2018-03-18 07:00:00,-0.32
2018-03-18 08:00:00,-0.1833333333
2018-03-18 09:00:00,-0.1783333333
2018-03-18 10:00:00,-0.2666666667
2018-03-18 11:00:00,-0.46
2018-03-18 12:00:00,-0.785
2018-03-18 13:00:00,-1.1233333333
2018-03-18 14:00:00,-1.3833333333
2018-03-18 15:00:00,-1.5433333333
2018-03-18 16:00:00,-1.47
2018-03-18 17:00:00,-0.8383333333
2018-03-18 18:00:00,-0.2416666667
2018-03-18 19:00:00,-0.0266666667
2018-03-18 20:00:00,0.1716666667
2018-03-18 21:00:00,0.2766666667
2018-03-18 22:00:00,0.265
2018-03-18 23:00:00,0.1
2018-03-19 00:00:00,-0.2516666667
2018-03-19 01:00:00,-0.6516666667000001
2018-03-19 02:00:00,-0.975
2018-03-19 03:00:00,-1.23
2018-03-19 04:00:00,-1.355
